t,count
1495505712,1024
1495505713,0
1495505714,409600
1495505715,0
1495505716,0
1495505717,0
1495505718,0
1495505719,0
1495505720,0
1495505721,0
1495505722,0
1495505723,0
1495505724,0
1495505725,0
1495505726,0
1495505727,0
1495505728,0
1495505729,0
1495505730,0
1495505731,0
1495612065,0
1495612066,0
1495612067,0
1495612068,0
1495612069,0
1495612070,0
1495612071,0
1495612072,0
1495612073,0
1495612074,0
1495612075,0
1495612393,1024
1495612394,0
1495612395,409600
1495612396,0
1495612397,0
1495612398,0
1495612399,0
1495612400,0
1495612401,0
1495612402,0
1495612403,0
1495612404,0
1495612405,0
1495612406,0
1495612407,0
1495612408,0
1495612409,0
1495612410,0
1495612411,0
1495612412,0
1495612413,0
1495613470,0
1495613471,0
1495613472,0
1495613473,0
1495613474,0
1495613475,0
1495613476,0
1495613477,0
1495613478,0
1495613479,0
1495706177,0
1495706178,409600
1495706179,0
1495706180,0
1495706181,0
1495706182,0
1495706183,0
1495706184,0
1495706185,0
1495706186,0
1495706187,0
1495706326,0
1495706327,409600
1495706328,0
1495706329,0
1495706330,0
1495706331,0
1495706332,0
1495706333,0
1495706334,0
1495706335,0
1495706336,0
1495706949,1024
1495706950,0
1495706951,409600
1495706952,409600
1495706953,0
1495706954,0
1495706955,0
1495706956,0
1495706957,0
1495706958,0
1495706959,0
1495706960,0
1495706961,0
1495706962,0
1495706963,0
1495706964,0
1495706965,0
1495706966,0
1495706967,0
1495706968,0
1495706969,0
1495706970,0
1495712246,0
1495712247,409600
1495712248,0
1495712249,0
1495712250,0
1495712251,0
1495712252,0
1495712253,0
1495712254,0
1495712255,0
1495712256,0
1495712257,0
1495712258,0
1495712259,0
1495712260,0
1495712261,0
1495712262,0
1495712263,0
1495712264,0
1495712539,1024
1495712540,0
1495712541,409600
1495712542,0
1495712543,0
1495712544,0
1495712545,0
1495712546,0
1495712547,0
1495712548,0
1495712549,0
1495712550,0
1495712551,0
1495712552,0
1495712553,0
1495712554,0
1495712555,0
1495712556,0
1495712557,0
1495712558,0
1495712616,1024
1495712617,0
1495712618,409600
1495712619,0
1495712620,0
1495712621,0
1495712622,0
1495712623,0
1495712624,0
1495712625,0
1495712626,0
1495712627,0
1495712628,0
1495712629,0
1495712630,0
1495712631,0
1495712632,0
1495715513,1024
1495715514,0
1495715515,409600
1495715516,0
1495715517,0
1495715518,0
1495715519,0
1495715520,0
1495715521,0
