t,count
1504495561,0
1504495562,0
1504495563,0
1504495564,70
1504495565,202
1504495566,334
1504495567,466
1504495568,598
1504495569,730
1504495570,862
1504495571,994
1504495572,1126
1504495573,1258
1504495574,1390
1504495575,1522
1504495576,1654
1504495577,1786
1504495578,1918
1504495654,0
1504495655,0
1504495656,0
1504495657,61
1504495658,193
1504495659,325
1504495660,457
1504495661,589
1504495662,721
1504495663,854
1504495664,986
1504495665,1118
1504495666,1250
1504495667,1382
1504495668,1513
1504495669,1645
1504495670,1777
1504495671,1909
1504495672,2041
1504495673,2173
1504495674,2305
1504495675,2437
1504495676,2569
1504495713,0
1504495714,0
1504495715,0
1504495716,76
1504495717,208
1504495718,340
1504495719,472
1504495720,604
1504495721,736
1504495722,868
1504495723,1001
1504495724,1133
1504495725,1265
1504495726,1397
1504495727,1528
1504495728,1660
1504495729,1792
1504495730,1924
1504495731,2056
1504495732,2188
1504495733,2320
1504495734,2452
1504495735,2582
1504495736,2714
1504495800,0
1504495801,0
1504495802,0
1504495803,69
1504495804,201
1504495805,333
1504495806,465
1504495807,597
1504495808,729
1504495809,861
1504495810,993
1504495811,1125
1504495812,1257
1504495813,1389
1504495814,1521
1504495815,1653
1504495816,1785
1504495817,1917
1504495818,2049
1504495819,2181
1504495820,2313
1504502643,0
1504502644,0
1504502645,0
1504502646,70
1504502647,202
1504502648,334
1504502649,466
1504502650,598
1504502651,730
1504502652,862
1504502653,994
1504502654,1127
1504502655,1258
1504502656,1391
1504502657,1522
1504502658,1654
1504502659,1786
1504502660,1918
1504502661,2050
1504502662,2182
1504502663,2314
1504502690,0
1504502691,0
1504502692,0
1504502693,83
1504502694,215
1504502695,347
1504502696,479
1504502697,611
1504502698,743
1504502699,875
1504502700,1007
1504502701,1139
1504502702,1271
1504502703,1403
1504502704,1535
1504502705,1667
1504502706,1799
1504502707,1931
1504502708,2063
1504502709,2195
1504502710,2327
1504503437,0
1504503438,0
1504503439,0
1504503440,63
1504503441,195
1504503442,327
1504503443,459
1504503444,591
1504503445,723
1504503446,856
1504503447,988
1504503448,1120
1504503449,1252
1504503450,1384
1504503451,1515
1504503452,1647
1504503453,1779
1504503454,1911
1504503455,2043
1504503456,2175
1504503457,2307
1504510409,0
1504510410,0
1504510466,0
1504510467,0
1504510663,0
1504510664,0
1504510665,0
1504510666,39
1504510667,171
1504510668,303
1504510669,433
1504510670,567
1504510671,699
1504510672,828
1504510673,963
1504510674,1095
1504510728,0
1504510729,0
1504510730,0
1504510731,48
1504510732,180
1504510733,312
1504510734,444
1504510735,576
1504510736,708
1504510741,858
1504510741,979
1504510741,1086
1504510741,1169
1504510742,1238
1504510745,1350
1504510750,1457
1504510750,1553
1504510751,1598
1504510751,1661
1504510751,1665
1504510751,1665
1504510751,1668
1504510751,1668
1504510752,1704
1504510753,1840
1504510754,1949
1504510755,2018
1504510759,2229
1504510759,2351
1504510759,2439
1504510759,2455
1504510761,2517
1504510765,2622
1504510767,2722
1504510767,2819
1504510768,2922
1504510774,2943
1504510774,2943
1504510774,2945
1504510774,3015
1504510774,3116
1504510776,3163
1504510776,3216
1504510776,3217
1504510776,3233
1504510782,3357
1504510782,3453
1504510782,3551
1504510782,3584
1504510783,3622
1504510784,3681
1504510784,3715
1504510785,3774
1504510785,3839
1504510785,3845
1504510785,3851
1504510785,3853
1504510792,3903
1504510792,3955
1504510792,4016
1504510792,4068
1504510792,4136
1504510792,4180
1504510792,4183
1504510792,4207
1504510859,0
1504510860,0
1504510861,0
1504510862,42
1504510863,174
1504510864,306
1504510865,438
1504510866,570
1504510867,702
1504510872,844
1504510872,925
1504510872,985
1504510872,1104
1504510872,1143
1504510873,1171
1504510875,1253
1504510884,1295
1504510884,1295
1504510884,1352
1504510886,1444
1504510886,1504
1504510886,1511
1504510888,1576
1504510888,1659
1504510890,1740
1504510897,1886
1504510897,1978
1504510897,2031
1504510897,2032
1504510897,2034
1504510897,2034
1504510897,2035
1504510897,2035
1504510897,2037
1504510897,2039
1504510897,2039
1504510897,2039
1504510897,2040
1504510897,2042
1504510898,2103
1504510900,2178
1504510900,2257
1504510915,2420
1504510915,2512
1504510916,2594
1504510916,2680
1504510917,2742
1504510917,2797
1504510917,2797
1504510917,2797
1504510917,2797
1504510917,2797
1504510917,2797
1504510917,2797
1504510917,2797
1504510917,2800
1504510917,2800
1504510917,2800
1504510917,2821
1504513849,0
1504513850,0
1504513851,0
1504513852,45
1504513853,177
1504513854,309
1504513855,441
1504513856,573
1504513857,705
1504513858,837
1504513861,991
1504513863,1019
1504513863,1051
1504513864,1164
1504513864,1238
1504513868,1305
1504513868,1423
1504513869,1527
1504513873,1578
1504513873,1637
1504513873,1684
1504513873,1731
1504513873,1732
1504513873,1733
1504513873,1736
1504513874,1855
1504514082,0
1504514083,0
1504514084,0
1504514085,50
1504514086,182
1504514087,314
1504514088,445
1504514089,578
1504514090,710
1504514091,840
1504514095,1003
1504514096,1035
1504514096,1074
1504514097,1229
1504514097,1233
1504514097,1260
1504514099,1363
1504514103,1490
1504514104,1581
1504514104,1590
1504514104,1591
1504514104,1592
1504514104,1593
1504514105,1710
1504514106,1838
1504514107,1946
1504514110,2104
1504514110,2220
1504514111,2315
1504514114,2409
1504514114,2488
1504514136,2585
1504514136,2660
1504514136,2753
1504514136,2829
1504514136,2896
1504514136,2969
1504514136,3041
1504514136,3107
1504514136,3176
1504514136,3259
1504514136,3335
