t,count
1493609208,0
1493609209,0
1493609210,1
1493609211,5
1493609212,6
1493609213,11
1493609214,15
1493609215,17
1493609216,23
1493609217,27
1493609218,31
1493609219,35
1493609220,39
1493609221,43
1493609222,47
1493609223,51
1493609224,55
1493609225,59
1493609226,63
1493609227,67
1493609228,71
1493609229,75
1493609230,79
1493609231,83
1493609243,0
1493609244,0
1493609245,2
1493609246,6
1493609247,9
1493609248,13
1493609249,17
1493609250,21
1493609251,25
1493609252,29
1493609253,33
1493609254,37
1493609255,41
1493609256,45
1493609257,49
1493609258,53
1493609259,57
1493609260,61
1493609261,65
1493609262,69
1493609263,73
1493609264,77
1493609265,81
1493609266,85
1493609281,0
1493609282,0
1493609283,6
1493609284,8
1493609285,12
1493609286,15
1493609287,20
1493609288,24
1493609289,28
1493609290,32
1493609291,36
1493609292,40
1493609293,44
1493609294,48
1493609295,52
1493609296,56
1493609297,60
1493609298,64
1493609299,68
1493609300,72
1493609301,76
1493609302,80
1493609303,84
1493609532,0
1493609533,0
1493609534,6
1493609535,8
1493609536,12
1493609537,16
1493609538,20
1493609539,24
1493609540,28
1493609541,32
1493609542,36
1493609543,40
1493609544,44
1493609545,48
1493609546,52
1493609547,56
1493609548,60
1493609549,64
1493609550,68
1493609551,72
1493609552,76
1493609553,80
1493609554,84
1493609642,0
1493609643,0
1493609644,3
1493609645,6
1493609646,8
1493609647,12
1493609648,16
1493609649,20
1493609650,24
1493609651,28
1493609652,32
1493609653,36
1493609654,40
1493609655,44
1493609656,48
1493609657,52
1493609658,56
1493609659,60
1493609660,64
1493609661,68
1493609662,72
1493609694,0
1493609695,0
1493609696,6
1493609697,9
1493609698,13
1493609699,17
1493609700,21
1493609701,25
1493609702,29
1493609703,33
1493609704,37
1493609705,41
1493609706,45
1493609707,49
1493609708,53
1493609709,57
1493609710,61
1493609711,65
1493609731,0
1493609732,0
1493609733,6
1493609734,10
1493609735,14
1493609736,18
1493609737,22
1493609738,26
1493609739,30
1493609740,34
1493609741,38
1493609742,42
1493609743,46
1493609744,50
1493609745,54
1493609746,58
1493609747,62
1493609748,66
1493609749,70
1493609750,74
1493609751,78
1493610007,0
1493610008,0
1493610009,2
1493610010,8
1493610011,12
1493610012,16
1493610013,20
1493610014,24
1493610015,28
1493610016,32
1493610017,36
1493610018,40
1493610019,44
1493610020,48
1493610021,52
1493610022,56
1493610023,60
1493610024,64
1493610025,68
1493610026,72
1493610027,76
1493610028,82
1493610029,86
1493610030,90
1493610696,0
