t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1504495561,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495562,2,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495563,3,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495564,4,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495565,5,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495566,6,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495567,7,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495568,8,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495569,9,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495570,10,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495571,11,1609937,146357.909091,0,485414.269555,0.000000,0.000000,1609937.000000,1609937.000000,1609937.000000,1609937.000000
1504495572,12,15765665,1447966.833333,0,4532597.034322,0.000000,0.000000,15765665.000000,15765665.000000,15765665.000000,15765665.000000
1504495573,13,15765665,2151092.230769,0,5025873.931102,0.000000,804968.500000,15765665.000000,15765665.000000,15765665.000000,15765665.000000
1504495574,14,15765665,2643517.428571,0,5168281.472928,0.000000,3468714.000000,15765665.000000,15765665.000000,15765665.000000,15765665.000000
1504495575,15,15765665,2950434.000000,0,5120172.068579,0.000000,7247266.000000,15765665.000000,15765665.000000,15765665.000000,15765665.000000
1504495576,16,15765665,3144066.937500,0,5006827.070061,0.000000,6947589.750000,15765665.000000,15765665.000000,15765665.000000,15765665.000000
1504495577,17,15765665,3264497.411765,0,4873202.947025,0.000000,6647913.500000,15765665.000000,15765665.000000,15765665.000000,15765665.000000
1504495578,18,15765665,3335890.722222,0,4737394.387265,0.000000,6348237.250000,15765665.000000,15765665.000000,15765665.000000,15765665.000000
1504495654,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495655,2,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495656,3,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495657,4,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495658,5,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495659,6,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495660,7,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495661,8,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495662,9,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495663,10,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495664,11,1449230,131748.181818,0,436959.285902,0.000000,0.000000,1449230.000000,1449230.000000,1449230.000000,1449230.000000
1504495665,12,15918655,1447323.750000,0,4576291.592686,0.000000,0.000000,15918655.000000,15918655.000000,15918655.000000,15918655.000000
1504495666,13,15918655,2158666.538462,0,5076943.207078,0.000000,724615.000000,15918655.000000,15918655.000000,15918655.000000,15918655.000000
1504495667,14,15918655,2659912.071429,0,5225905.863918,0.000000,3380948.500000,15918655.000000,15918655.000000,15918655.000000,15918655.000000
1504495668,15,15918655,2972736.666667,0,5179503.802985,0.000000,7352281.000000,15918655.000000,15918655.000000,15918655.000000,15918655.000000
1504495669,16,15918655,3170448.875000,0,5065986.334958,0.000000,7048243.750000,15918655.000000,15918655.000000,15918655.000000,15918655.000000
1504495670,17,15918655,3293772.176471,0,4931404.543638,0.000000,6744206.500000,15918655.000000,15918655.000000,15918655.000000,15918655.000000
1504495671,18,15918655,3367186.444444,0,4794293.462755,0.000000,6440169.250000,15918655.000000,15918655.000000,15918655.000000,15918655.000000
1504495672,19,15918655,3406214.473684,0,4662320.456454,0.000000,6136132.000000,15918655.000000,15918655.000000,15918655.000000,15918655.000000
1504495673,20,15918655,3421069.900000,0,4538455.780147,724615.000000,5918835.250000,15657461.250000,15918655.000000,15918655.000000,15918655.000000
1504495674,21,15918655,3418723.428571,0,4423552.582418,1449230.000000,5701538.500000,15396267.500000,15918655.000000,15918655.000000,15918655.000000
1504495675,22,15918655,3404077.863636,0,4317491.801392,2272875.500000,5484241.750000,15135073.750000,15918655.000000,15918655.000000,15918655.000000
1504495676,23,15918655,3380536.652174,0,4219736.441614,2862630.000000,5266945.000000,14873880.000000,15918655.000000,15918655.000000,15918655.000000
