t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1504495561,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495562,2,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495563,3,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495564,4,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495565,5,535143,107028.600000,0,239323.225137,0.000000,267571.500000,535143.000000,535143.000000,535143.000000,535143.000000
1504495566,6,535143,165428.500000,0,257456.355120,0.000000,476856.750000,535143.000000,535143.000000,535143.000000,535143.000000
1504495567,7,535143,179390.857143,0,237909.879812,0.000000,457428.000000,535143.000000,535143.000000,535143.000000,535143.000000
1504495568,8,535143,179019.250000,0,220264.256428,88209.000000,408862.250000,535143.000000,535143.000000,535143.000000,535143.000000
1504495569,9,535143,177351.333333,0,206099.095925,164008.000000,360296.500000,535143.000000,535143.000000,535143.000000,535143.000000
1504495570,10,535143,175967.200000,0,194361.382478,163759.000000,311730.750000,535143.000000,535143.000000,535143.000000,535143.000000
1504495571,11,535143,201765.000000,0,203271.994215,164008.000000,457428.000000,535143.000000,535143.000000,535143.000000,535143.000000
1504495572,12,556623,231336.500000,0,219218.768510,170213.000000,459164.250000,556623.000000,556623.000000,556623.000000,556623.000000
1504495573,13,556623,229570.384615,0,209982.567263,176418.000000,458585.500000,556623.000000,556623.000000,556623.000000,556623.000000
1504495574,14,556623,223247.000000,0,203127.365837,170213.000000,458006.750000,556623.000000,556623.000000,556623.000000,556623.000000
1504495575,15,556623,218217.866667,0,196705.146642,164008.000000,457428.000000,556623.000000,556623.000000,556623.000000,556623.000000
1504495576,16,556623,213222.625000,0,191082.772893,163759.000000,408862.250000,556623.000000,556623.000000,556623.000000,556623.000000
1504495577,17,556623,208248.352941,0,186148.393676,163510.000000,360296.500000,556623.000000,556623.000000,556623.000000,556623.000000
1504495578,18,556623,202287.111111,0,182352.878840,155660.000000,311730.750000,556623.000000,556623.000000,556623.000000,556623.000000
1504495654,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495655,2,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495656,3,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495657,4,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504495658,5,544899,108979.800000,0,243686.240974,0.000000,272449.500000,544899.000000,544899.000000,544899.000000,544899.000000
1504495659,6,544899,170099.833333,0,264424.541373,0.000000,492999.750000,544899.000000,544899.000000,544899.000000,544899.000000
1504495660,7,544899,186909.428571,0,245448.336406,0.000000,475700.000000,544899.000000,544899.000000,544899.000000,544899.000000
1504495661,8,544899,186143.875000,0,227251.319378,90392.500000,428716.750000,544899.000000,544899.000000,544899.000000,544899.000000
1504495662,9,544899,183731.777778,0,212697.275033,164435.000000,381733.500000,544899.000000,544899.000000,544899.000000,544899.000000
1504495663,10,544899,181358.500000,0,200673.301861,162217.000000,334750.250000,544899.000000,544899.000000,544899.000000,544899.000000
1504495664,11,544899,199830.272727,0,199990.167099,164435.000000,384548.000000,544899.000000,544899.000000,544899.000000,544899.000000
1504495665,12,608370,233875.250000,0,224207.017244,172610.000000,452912.000000,608370.000000,608370.000000,608370.000000,608370.000000
1504495666,13,608370,233030.769231,0,214683.469214,180785.000000,430124.000000,608370.000000,608370.000000,608370.000000,608370.000000
1504495667,14,608370,227566.000000,0,207272.228528,172610.000000,407336.000000,608370.000000,608370.000000,608370.000000,608370.000000
1504495668,15,608370,224772.533333,0,200025.323952,180785.000000,384548.000000,608370.000000,608370.000000,608370.000000,608370.000000
1504495669,16,608370,221635.687500,0,193649.748350,177684.000000,360352.750000,608370.000000,608370.000000,608370.000000,608370.000000
1504495670,17,608370,215553.764706,0,189169.995808,174583.000000,336157.500000,608370.000000,608370.000000,608370.000000,608370.000000
1504495671,18,608370,209297.333333,0,185431.505458,169509.000000,311962.250000,608370.000000,608370.000000,608370.000000,608370.000000
1504495672,19,608370,202655.894737,0,182517.504845,164435.000000,287767.000000,608370.000000,608370.000000,608370.000000,608370.000000
1504495673,20,608370,196784.000000,0,179579.858868,162217.000000,271549.500000,605196.450000,608370.000000,608370.000000,608370.000000
1504495674,21,608370,191559.904762,0,176662.372954,159999.000000,255332.000000,602022.900000,608370.000000,608370.000000,608370.000000
1504495675,22,608370,186421.272727,0,174081.431337,158261.500000,239114.500000,598849.350000,608370.000000,608370.000000,608370.000000
1504495676,23,608370,182608.782609,0,171058.999710,156524.000000,222897.000000,595675.800000,608370.000000,608370.000000,608370.000000
1504495713,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
