t,value
1504495561,0
1504495562,0
1504495563,1351680
1504495564,1351680
1504495565,1351680
1504495566,1351680
1504495567,1351680
1504495568,1351680
1504495569,1351680
1504495570,1350656
1504495571,1350656
1504495572,1349632
1504495573,1349632
1504495574,1349632
1504495575,1349632
1504495576,1350656
1504495577,1350656
1504495578,1351680
1504495654,0
1504495655,0
1504495656,1351680
1504495657,1351680
1504495658,1351680
1504495659,1351680
1504495660,1351680
1504495661,1351680
1504495662,1351680
1504495663,1350656
1504495664,1350656
1504495665,1349632
1504495666,1349632
1504495667,1349632
1504495668,1349632
1504495669,1349632
1504495670,1349632
1504495671,1349632
1504495672,1349632
1504495673,1349632
1504495674,1349632
1504495675,1350656
1504495676,1350656
1504495713,0
1504495714,0
1504495715,1351680
1504495716,1351680
1504495717,1351680
1504495718,1351680
1504495719,1351680
1504495720,1351680
1504495721,1351680
1504495722,1350656
1504495723,1350656
1504495724,1349632
1504495725,1349632
1504495726,1349632
1504495727,1349632
1504495728,1349632
1504495729,1349632
1504495730,1349632
1504495731,1349632
1504495732,1349632
1504495733,1349632
1504495734,1350656
1504495735,1350656
1504495736,1351680
1504495800,0
1504495801,0
1504495802,1351680
1504495803,1351680
1504495804,1351680
1504495805,1351680
1504495806,1351680
1504495807,1351680
1504495808,1351680
1504495809,1350656
1504495810,1350656
1504495811,1349632
1504495812,1349632
1504495813,1349632
1504495814,1349632
1504495815,1349632
1504495816,1349632
1504495817,1349632
1504495818,1350656
1504495819,1350656
1504495820,1351680
1504502643,0
1504502644,0
1504502645,1351680
1504502646,1351680
1504502647,1351680
1504502648,1351680
1504502649,1351680
1504502650,1351680
1504502651,1351680
1504502652,1350656
1504502653,1350656
1504502654,1349632
1504502655,1349632
1504502656,1349632
1504502657,1349632
1504502658,1349632
1504502659,1349632
1504502660,1349632
1504502661,1350656
1504502662,1350656
1504502663,1351680
1504502690,0
1504502691,0
1504502692,1351680
1504502693,1351680
1504502694,1351680
1504502695,1351680
1504502696,1351680
1504502697,1351680
1504502698,1351680
1504502699,1350656
1504502700,1350656
1504502701,1349632
1504502702,1349632
1504502703,1349632
1504502704,1349632
1504502705,1349632
1504502706,1349632
1504502707,1349632
1504502708,1350656
1504502709,1350656
1504502710,1351680
1504503437,0
1504503438,0
1504503439,1351680
1504503440,1351680
1504503441,1351680
1504503442,1351680
1504503443,1351680
1504503444,1351680
1504503445,1351680
1504503446,1350656
1504503447,1350656
1504503448,1349632
1504503449,1349632
1504503450,1349632
1504503451,1349632
1504503452,1349632
1504503453,1349632
1504503454,1349632
1504503455,1350656
1504503456,1350656
1504503457,1351680
1504510409,0
1504510410,0
1504510466,0
1504510467,0
1504510663,0
1504510664,0
1504510665,1351680
1504510666,1351680
1504510667,1351680
1504510668,1351680
1504510669,1351680
1504510670,1351680
1504510671,1351680
1504510672,1351680
1504510673,1350656
1504510674,1350656
1504510728,0
1504510729,0
1504510730,1351680
1504510731,1351680
1504510732,1351680
1504510733,1351680
1504510734,1351680
1504510735,1351680
1504510736,1351680
1504510741,1351680
1504510741,1351680
1504510741,1351680
1504510741,1351680
1504510742,1351680
1504510745,1351680
1504510750,1351680
1504510750,1351680
1504510751,1351680
1504510751,1351680
1504510751,1351680
1504510751,1351680
1504510751,1351680
1504510751,1351680
1504510752,1351680
1504510753,1351680
1504510754,1351680
1504510755,1351680
1504510759,1351680
1504510759,1351680
1504510759,1351680
1504510759,1351680
1504510761,1350656
1504510765,1350656
1504510767,1350656
1504510767,1350656
1504510768,1350656
1504510774,1350656
1504510774,1350656
1504510774,1350656
1504510774,1350656
1504510774,1350656
1504510776,1350656
1504510776,1350656
1504510776,1350656
1504510776,1350656
1504510782,1350656
1504510782,1350656
1504510782,1350656
1504510782,1350656
1504510783,1350656
1504510784,1350656
1504510784,1350656
1504510785,1350656
1504510785,1350656
1504510785,1350656
1504510785,1350656
1504510785,1350656
1504510792,1350656
1504510792,1350656
1504510792,1350656
1504510792,1350656
1504510792,1350656
1504510792,1350656
1504510792,1350656
1504510792,1350656
1504510859,0
1504510860,0
1504510861,1351680
1504510862,1351680
1504510863,1351680
1504510864,1351680
1504510865,1351680
1504510866,1351680
1504510867,1351680
1504510872,1351680
1504510872,1351680
1504510872,1351680
1504510872,1351680
1504510872,1351680
1504510873,1351680
1504510875,1350656
1504510884,1350656
1504510884,1350656
1504510884,1350656
1504510886,1350656
1504510886,1350656
1504510886,1350656
1504510888,1350656
1504510888,1350656
1504510890,1350656
1504510897,1350656
1504510897,1350656
1504510897,1350656
1504510897,1350656
1504510897,1350656
1504510897,1350656
1504510897,1350656
1504510897,1350656
1504510897,1350656
1504510897,1350656
1504510897,1350656
1504510897,1350656
1504510897,1350656
1504510897,1350656
1504510898,1350656
1504510900,1350656
1504510900,1350656
1504510915,1350656
1504510915,1350656
1504510916,1350656
1504510916,1350656
1504510917,1350656
1504510917,1350656
1504510917,1350656
1504510917,1350656
1504510917,1350656
1504510917,1350656
1504510917,1350656
1504510917,1350656
1504510917,1350656
1504510917,1350656
1504510917,1350656
1504510917,1350656
1504510917,1350656
1504513849,0
1504513850,0
1504513851,1351680
1504513852,1351680
1504513853,1351680
1504513854,1351680
1504513855,1351680
1504513856,1351680
1504513857,1351680
1504513858,1351680
1504513861,1350656
1504513863,1350656
1504513863,1350656
1504513864,1350656
1504513864,1350656
1504513868,1350656
1504513868,1350656
1504513869,1350656
1504513873,1350656
