t,value
1504495561,3817865216
1504495562,3817865216
1504495563,3817865216
1504495564,3817865216
1504495565,3817865216
1504495566,3817865216
1504495567,3817865216
1504495568,3817865216
1504495569,3817865216
1504495570,3817865216
1504495571,3817865216
1504495572,3817865216
1504495573,3817865216
1504495574,3817865216
1504495575,3817865216
1504495576,3817865216
1504495577,3817865216
1504495578,3817865216
1504495654,3817865216
1504495655,3817865216
1504495656,3817865216
1504495657,3817865216
1504495658,3817865216
1504495659,3817865216
1504495660,3817865216
1504495661,3817865216
1504495662,3817865216
1504495663,3817865216
1504495664,3817865216
1504495665,3817865216
1504495666,3817865216
1504495667,3817865216
1504495668,3817865216
1504495669,3817865216
1504495670,3817865216
1504495671,3817865216
1504495672,3817865216
1504495673,3817865216
1504495674,3817865216
1504495675,3817865216
1504495676,3817865216
1504495713,3817865216
1504495714,3817865216
1504495715,3817865216
1504495716,3817865216
1504495717,3817865216
1504495718,3817865216
1504495719,3817865216
1504495720,3817865216
1504495721,3817865216
1504495722,3817865216
1504495723,3817865216
1504495724,3817865216
1504495725,3817865216
1504495726,3817865216
1504495727,3817865216
1504495728,3817865216
1504495729,3817865216
1504495730,3817865216
1504495731,3817865216
1504495732,3817865216
1504495733,3817865216
1504495734,3817865216
1504495735,3817865216
1504495736,3817865216
1504495800,3817865216
1504495801,3817865216
1504495802,3817865216
1504495803,3817865216
1504495804,3817865216
1504495805,3817865216
1504495806,3817865216
1504495807,3817865216
1504495808,3817865216
1504495809,3817865216
1504495810,3817865216
1504495811,3817865216
1504495812,3817865216
1504495813,3817865216
1504495814,3817865216
1504495815,3817865216
1504495816,3817865216
1504495817,3817865216
1504495818,3817865216
1504495819,3817865216
1504495820,3817865216
1504502643,3817865216
1504502644,3817865216
1504502645,3817865216
1504502646,3817865216
1504502647,3817865216
1504502648,3817865216
1504502649,3817865216
1504502650,3817865216
1504502651,3817865216
1504502652,3817865216
1504502653,3817865216
1504502654,3817865216
1504502655,3817865216
1504502656,3817865216
1504502657,3817865216
1504502658,3817865216
1504502659,3817865216
1504502660,3817865216
1504502661,3817865216
1504502662,3817865216
1504502663,3817865216
1504502690,3817865216
1504502691,3817865216
1504502692,3817865216
1504502693,3817865216
1504502694,3817865216
1504502695,3817865216
1504502696,3817865216
1504502697,3817865216
1504502698,3817865216
1504502699,3817865216
1504502700,3817865216
1504502701,3817865216
1504502702,3817865216
1504502703,3817865216
1504502704,3817865216
1504502705,3817865216
1504502706,3817865216
1504502707,3817865216
1504502708,3817865216
1504502709,3817865216
1504502710,3817865216
1504503437,3817865216
1504503438,3817865216
1504503439,3817865216
1504503440,3817865216
1504503441,3817865216
1504503442,3817865216
1504503443,3817865216
1504503444,3817865216
1504503445,3817865216
1504503446,3817865216
1504503447,3817865216
1504503448,3817865216
1504503449,3817865216
1504503450,3817865216
1504503451,3817865216
1504503452,3817865216
1504503453,3817865216
1504503454,3817865216
1504503455,3817865216
1504503456,3817865216
1504503457,3817865216
1504510409,3817865216
1504510410,3817865216
1504510466,3817865216
1504510467,3817865216
1504510663,3817865216
1504510664,3817865216
1504510665,3817865216
1504510666,3817865216
1504510667,3817865216
1504510668,3817865216
1504510669,3817865216
1504510670,3817865216
1504510671,3817865216
1504510672,3817865216
1504510673,3817865216
1504510674,3817865216
1504510728,3817865216
1504510729,3817865216
1504510730,3817865216
1504510731,3817865216
1504510732,3817865216
1504510733,3817865216
1504510734,3817865216
1504510735,3817865216
1504510736,3817865216
1504510741,3817865216
1504510741,3817865216
1504510741,3817865216
1504510741,3817865216
1504510742,3817865216
1504510745,3817865216
1504510750,3817865216
1504510750,3817865216
1504510751,3817865216
1504510751,3817865216
1504510751,3817865216
1504510751,3817865216
1504510751,3817865216
1504510751,3817865216
1504510752,3817865216
1504510753,3817865216
1504510754,3817865216
1504510755,3817865216
1504510759,3817865216
1504510759,3817865216
1504510759,3817865216
1504510759,3817865216
1504510761,3817865216
1504510765,3817865216
1504510767,3817865216
1504510767,3817865216
1504510768,3817865216
1504510774,3817865216
1504510774,3817865216
1504510774,3817865216
1504510774,3817865216
1504510774,3817865216
1504510776,3817865216
1504510776,3817865216
1504510776,3817865216
1504510776,3817865216
1504510782,3817865216
1504510782,3817865216
1504510782,3817865216
1504510782,3817865216
1504510783,3817865216
1504510784,3817865216
1504510784,3817865216
1504510785,3817865216
1504510785,3817865216
1504510785,3817865216
1504510785,3817865216
1504510785,3817865216
1504510792,3817865216
1504510792,3817865216
1504510792,3817865216
1504510792,3817865216
1504510792,3817865216
1504510792,3817865216
1504510792,3817865216
1504510792,3817865216
1504510859,3817865216
1504510860,3817865216
1504510861,3817865216
1504510862,3817865216
1504510863,3817865216
1504510864,3817865216
1504510865,3817865216
1504510866,3817865216
1504510867,3817865216
1504510872,3817865216
1504510872,3817865216
1504510872,3817865216
1504510872,3817865216
1504510872,3817865216
1504510873,3817865216
1504510875,3817865216
1504510884,3817865216
1504510884,3817865216
1504510884,3817865216
1504510886,3817865216
1504510886,3817865216
1504510886,3817865216
1504510888,3817865216
1504510888,3817865216
1504510890,3817865216
1504510897,3817865216
1504510897,3817865216
1504510897,3817865216
1504510897,3817865216
1504510897,3817865216
1504510897,3817865216
1504510897,3817865216
1504510897,3817865216
1504510897,3817865216
