t,value
1495769189,13312
1495769190,37888
1495769191,37888
1495769192,37888
1495769193,37888
1495769194,37888
1495769195,37888
1495769196,37888
1495769197,37888
1495769198,37888
1495769199,37888
1495769200,37888
1495769201,37888
1495769202,37888
1495769203,37888
1495769204,37888
1495769205,37888
1495769206,37888
1495769207,37888
1495769208,37888
1495769209,37888
1495769210,37888
1495769211,37888
1495769212,37888
1495769213,37888
1495769214,37888
1495769215,37888
1495769216,37888
1495769217,37888
1495769218,37888
1495769219,37888
1495769220,37888
1495769221,37888
1495769222,37888
1495769223,37888
1495769224,37888
1495769225,37888
1495769226,37888
1495769227,37888
1495769228,37888
1495769229,37888
1495769230,37888
1495769231,37888
1495769232,37888
1495769233,37888
1495769234,37888
1495769235,37888
1495769236,37888
1495769237,37888
1495769238,37888
1495769239,37888
1495769240,37888
1495769241,37888
1495769242,37888
1495769243,37888
1495769244,37888
1495769245,37888
1495769246,37888
1495769247,37888
1495769248,37888
1495769249,37888
1495769250,37888
1495769251,37888
1495769252,37888
1495769253,37888
1495769254,37888
1495769255,37888
1495769256,37888
1495769257,37888
1495769258,37888
1495769259,37888
1495769260,37888
1495769261,37888
1495769262,37888
1495769263,37888
1495769264,37888
1495769265,37888
1495769266,37888
1495769267,37888
1495769268,37888
1495769269,37888
1495769270,37888
1495769271,37888
1495769272,37888
1495769273,37888
1495769274,37888
1495769275,37888
1495769276,37888
1495769277,37888
1495769278,37888
1495769279,37888
1495769280,37888
1495769281,37888
1495769282,37888
1495769283,37888
1495769284,37888
1495769285,37888
1495769286,37888
1495769287,37888
1495769288,37888
1495769289,37888
1495769290,37888
1495769291,37888
1495769292,37888
1495769293,37888
1495769294,37888
1495769295,37888
1495769296,37888
1495769297,37888
1495769298,37888
1495769299,37888
1495769300,37888
1495769301,37888
1495769302,37888
1495769303,37888
1495769304,37888
1495769305,37888
1495769306,37888
1495769307,37888
1495769308,37888
1495769309,37888
1495769310,37888
1495769311,37888
1495769312,37888
1495769313,37888
1495769314,37888
1495769315,37888
1495769316,37888
1495769317,37888
1495769318,37888
1495769319,37888
1495769320,37888
1495769321,37888
1495769322,37888
1495769323,37888
1495769324,37888
1495769325,37888
1495769326,37888
1495769327,37888
1495769328,37888
1495769329,37888
1495769330,37888
1495769331,37888
1495769332,37888
1495769333,37888
1495769334,37888
1495769335,37888
1495769336,37888
1495769337,37888
1495769338,37888
1495769339,37888
1495769340,37888
1495769341,37888
1495769342,37888
1495769343,37888
1495769344,37888
1495769345,37888
1495769346,37888
1495769347,37888
1495769348,37888
1495769349,37888
1495769350,37888
1495769351,37888
1495769352,37888
1495769353,37888
1495769354,37888
1495769355,37888
1495769356,37888
1495769357,37888
1495769358,37888
1495769359,37888
1495769360,37888
1495769361,37888
1495769362,37888
1495769363,37888
1495769364,37888
1495769365,37888
1495769366,37888
1495769367,37888
1495769368,37888
1495769369,37888
1495769370,37888
1495769371,37888
1495769372,37888
1495769373,37888
1495769374,37888
1495769375,37888
1495769376,37888
1495769377,37888
1495769378,37888
1495769379,37888
1495769380,37888
1495769381,37888
1495769382,37888
1495769383,37888
1495769384,37888
1495769385,37888
1495769386,37888
1495769387,37888
1495769388,37888
1495769389,37888
1495769390,37888
1495769391,37888
1495769392,37888
1495769393,37888
1495769394,37888
1495769395,37888
1495769396,37888
1495769397,37888
1495769398,37888
1495769399,37888
1495769400,37888
1495769401,37888
1495769402,37888
1495769403,37888
1495769404,37888
1495769405,37888
1495769406,37888
1495769407,37888
1495769408,37888
1495769409,37888
1495769410,37888
1495769411,37888
1495769412,37888
1495769413,37888
1495769414,37888
1495769415,37888
1495769416,37888
1495769417,37888
1495769418,37888
1495769419,37888
1495769420,37888
1495769421,37888
1495769422,37888
1495769423,37888
1495769424,37888
1495769425,37888
1495769426,37888
1495769427,37888
1495769428,37888
1495769429,37888
1495769430,37888
1495769431,37888
1495769432,37888
1495769433,37888
1495769434,37888
1495769435,37888
1495769436,37888
1495769437,37888
1495769438,37888
1495769439,37888
1495769440,37888
1495769441,37888
1495769442,37888
1495769443,37888
1495769444,37888
1495769445,37888
1495769446,37888
1495769447,37888
1495769448,37888
1495769449,37888
1495769450,37888
1495769451,37888
1495769452,37888
1495769453,37888
1495769454,37888
1495769455,37888
1495769456,37888
1495769457,37888
1495769458,37888
1495769459,37888
1495769460,37888
1495769461,37888
1495769462,37888
1495769463,37888
1495769464,37888
1495769465,37888
1495769466,37888
1495769467,37888
1495769468,37888
1495769469,37888
1495769470,37888
1495769471,37888
1495769472,37888
1495769473,37888
1495769474,37888
1495769475,37888
1495769476,37888
1495769477,37888
1495769478,37888
1495769479,37888
1495769480,37888
1495769481,37888
1495769482,37888
1495769483,37888
1495769484,37888
1495769485,37888
1495769486,37888
1495769487,37888
1495769488,37888
1495769489,37888
1495769490,37888
1495769491,37888
1495769492,37888
1495769493,37888
1495769494,37888
1495769495,37888
1495769496,37888
1495769497,37888
1495769498,37888
1495769499,37888
1495769500,37888
1495769501,37888
1495769502,37888
1495769503,37888
1495769504,37888
1495769505,37888
1495769506,37888
1495769507,37888
1495769508,37888
1495769509,21504
1495769510,37888
1495769511,37888
1495769512,37888
1495769513,37888
1495769514,37888
1495769515,37888
1495769516,37888
1495769517,37888
1495769518,37888
1495769519,37888
1495769520,37888
1495769521,37888
1495769522,37888
1495769523,37888
1495769524,37888
1495769525,37888
1495769526,37888
1495769527,37888
1495769528,37888
1495769529,37888
1495769530,25600
1495769531,37888
1495769532,37888
1495769533,37888
1495769534,37888
1495769535,37888
1495769536,37888
1495769537,37888
1495769538,37888
1495769539,37888
1495769540,37888
1495769541,37888
1495769542,37888
1495769543,37888
1495769544,37888
1495769545,37888
1495769546,37888
1495769547,37888
1495769548,37888
1495769549,37888
1495769550,37888
1495769551,37888
1495769552,37888
1495769553,37888
1495769554,37888
1495769555,37888
1495769556,37888
1495769557,37888
1495769558,37888
1495769559,37888
1495769560,37888
1495769561,37888
1495769562,37888
1495769563,37888
1495769564,37888
1495769565,37888
1495769566,37888
1495769567,37888
1495769568,37888
1495769569,37888
1495769570,37888
1495769571,37888
1495769572,37888
1495769573,37888
1495769574,37888
1495769575,37888
1495769576,37888
1495769577,37888
1495769578,37888
1495769579,37888
1495769580,37888
1495769581,37888
1495769582,37888
1495769583,37888
1495769584,37888
1495769585,37888
1495769586,37888
1495769587,37888
1495769588,37888
1495769589,37888
1495769590,37888
1495769591,37888
1495769592,37888
1495769593,37888
1495769594,37888
1495769595,37888
1495769596,37888
1495769597,37888
1495769598,37888
1495769599,37888
1495769600,37888
1495769601,37888
1495769602,37888
1495769603,37888
1495769604,37888
1495769605,37888
1495769606,37888
1495769607,37888
1495769608,37888
1495769609,37888
1495769610,37888
1495769611,37888
1495769612,37888
1495769613,37888
1495769614,37888
1495769615,37888
1495769616,37888
1495769617,37888
1495769618,37888
1495769619,37888
1495769620,37888
1495769621,37888
1495769622,37888
1495769623,37888
1495769624,37888
1495769625,37888
1495769626,37888
1495769627,37888
1495769628,37888
1495769629,37888
1495769630,37888
1495769631,37888
1495769632,37888
1495769633,37888
1495769634,37888
1495769635,37888
1495769636,37888
1495769637,37888
1495769638,37888
1495769639,37888
1495769640,37888
1495769641,37888
1495769642,37888
1495769643,37888
1495769644,37888
1495769645,37888
1495769646,37888
1495769647,37888
1495769648,37888
1495769649,37888
1495769650,37888
1495769651,37888
1495769652,37888
1495769653,37888
1495769654,37888
1495769655,37888
1495769656,37888
1495769657,37888
1495769658,37888
1495769659,37888
1495769660,37888
1495769661,37888
1495769662,37888
1495769663,37888
1495769664,37888
1495769665,37888
1495769666,37888
1495769667,37888
1495769668,37888
1495769669,37888
1495769670,37888
1495769671,37888
1495769672,37888
1495769673,37888
1495769674,37888
1495769675,37888
1495769676,37888
1495769677,37888
1495769678,37888
1495769679,37888
1495769680,37888
1495769681,37888
1495769682,37888
1495769683,37888
1495769684,37888
1495769685,37888
1495769686,37888
1495769687,37888
1495769688,37888
1495769689,37888
1495769690,37888
1495769691,37888
1495769692,37888
1495769693,37888
1495769694,37888
1495769695,37888
1495769696,37888
1495769697,37888
1495769698,37888
1495769699,37888
1495769700,37888
1495769701,37888
1495769702,37888
1495769703,37888
1495769704,37888
1495769705,37888
1495769706,37888
1495769707,37888
1495769708,37888
1495769709,37888
1495769710,37888
1495769711,37888
1495769712,37888
1495769713,37888
1495769714,37888
1495769715,37888
1495769716,37888
1495769717,37888
1495769718,37888
1495769719,37888
1495769720,37888
1495769721,37888
1495769722,37888
1495769723,37888
1495769724,37888
1495769725,37888
1495769726,37888
1495769727,37888
1495769728,37888
1495769729,37888
1495769730,37888
1495769731,37888
1495769732,37888
1495769733,37888
1495769734,37888
1495769735,37888
1495769736,37888
1495769737,37888
1495769738,37888
