t,value
1495769189,13
1495769190,37
1495769191,37
1495769192,37
1495769193,37
1495769194,37
1495769195,37
1495769196,37
1495769197,37
1495769198,37
1495769199,37
1495769200,37
1495769201,37
1495769202,37
1495769203,37
1495769204,37
1495769205,37
1495769206,37
1495769207,37
1495769208,37
1495769209,37
1495769210,37
1495769211,37
1495769212,37
1495769213,37
1495769214,37
1495769215,37
1495769216,37
1495769217,37
1495769218,37
1495769219,37
1495769220,37
1495769221,37
1495769222,37
1495769223,37
1495769224,37
1495769225,37
1495769226,37
1495769227,37
1495769228,37
1495769229,37
1495769230,37
1495769231,37
1495769232,37
1495769233,37
1495769234,37
1495769235,37
1495769236,37
1495769237,37
1495769238,37
1495769239,37
1495769240,37
1495769241,37
1495769242,37
1495769243,37
1495769244,37
1495769245,37
1495769246,37
1495769247,37
1495769248,37
1495769249,37
1495769250,37
1495769251,37
1495769252,37
1495769253,37
1495769254,37
1495769255,37
1495769256,37
1495769257,37
1495769258,37
1495769259,37
1495769260,37
1495769261,37
1495769262,37
1495769263,37
1495769264,37
1495769265,37
1495769266,37
1495769267,37
1495769268,37
1495769269,37
1495769270,37
1495769271,37
1495769272,37
1495769273,37
1495769274,37
1495769275,37
1495769276,37
1495769277,37
1495769278,37
1495769279,37
1495769280,37
1495769281,37
1495769282,37
1495769283,37
1495769284,37
1495769285,37
1495769286,37
1495769287,37
1495769288,37
1495769289,37
1495769290,37
1495769291,37
1495769292,37
1495769293,37
1495769294,37
1495769295,37
1495769296,37
1495769297,37
1495769298,37
1495769299,37
1495769300,37
1495769301,37
1495769302,37
1495769303,37
1495769304,37
1495769305,37
1495769306,37
1495769307,37
1495769308,37
1495769309,37
1495769310,37
1495769311,37
1495769312,37
1495769313,37
1495769314,37
1495769315,37
1495769316,37
1495769317,37
1495769318,37
1495769319,37
1495769320,37
1495769321,37
1495769322,37
1495769323,37
1495769324,37
1495769325,37
1495769326,37
1495769327,37
1495769328,37
1495769329,37
1495769330,37
1495769331,37
1495769332,37
1495769333,37
1495769334,37
1495769335,37
1495769336,37
1495769337,37
1495769338,37
1495769339,37
1495769340,37
1495769341,37
1495769342,37
1495769343,37
1495769344,37
1495769345,37
1495769346,37
1495769347,37
1495769348,37
1495769349,37
1495769350,37
1495769351,37
1495769352,37
1495769353,37
1495769354,37
1495769355,37
1495769356,37
1495769357,37
1495769358,37
1495769359,37
1495769360,37
1495769361,37
1495769362,37
1495769363,37
1495769364,37
1495769365,37
1495769366,37
1495769367,37
1495769368,37
1495769369,37
1495769370,37
1495769371,37
1495769372,37
1495769373,37
1495769374,37
1495769375,37
1495769376,37
1495769377,37
1495769378,37
1495769379,37
1495769380,37
1495769381,37
1495769382,37
1495769383,37
1495769384,37
