t,value
1495769189,66502656
1495769190,66502656
1495769191,66502656
1495769192,66502656
1495769193,66502656
1495769194,66502656
1495769195,66502656
1495769196,66502656
1495769197,66502656
1495769198,66502656
1495769199,66502656
1495769200,66502656
1495769201,66502656
1495769202,66502656
1495769203,66502656
1495769204,66502656
1495769205,66502656
1495769206,66502656
1495769207,66502656
1495769208,66502656
1495769209,66502656
1495769210,66502656
1495769211,66502656
1495769212,66502656
1495769213,66502656
1495769214,66502656
1495769215,66502656
1495769216,66502656
1495769217,66502656
1495769218,66502656
1495769219,66502656
1495769220,66502656
1495769221,66502656
1495769222,66502656
1495769223,66502656
1495769224,66502656
1495769225,66502656
1495769226,66502656
1495769227,66502656
1495769228,66502656
1495769229,66502656
1495769230,66502656
1495769231,66502656
1495769232,66502656
1495769233,66502656
1495769234,66502656
1495769235,66502656
1495769236,66502656
1495769237,66502656
1495769238,66502656
1495769239,66502656
1495769240,66502656
1495769241,66502656
1495769242,66502656
1495769243,66502656
1495769244,66502656
1495769245,66502656
1495769246,66502656
1495769247,66502656
1495769248,66502656
1495769249,66502656
1495769250,66502656
1495769251,66502656
1495769252,66502656
1495769253,66502656
1495769254,66502656
1495769255,66502656
1495769256,66502656
1495769257,66502656
1495769258,66502656
1495769259,66502656
1495769260,66502656
1495769261,66502656
1495769262,66502656
1495769263,66502656
1495769264,66502656
1495769265,66502656
1495769266,66502656
1495769267,66502656
1495769268,66502656
1495769269,66502656
1495769270,66502656
1495769271,66502656
1495769272,66502656
1495769273,66502656
1495769274,66502656
1495769275,66502656
1495769276,66502656
1495769277,66502656
1495769278,66502656
1495769279,66502656
1495769280,66502656
1495769281,66502656
1495769282,66502656
1495769283,66502656
1495769284,66502656
1495769285,66502656
1495769286,66502656
1495769287,66502656
1495769288,66502656
1495769289,66502656
1495769290,66502656
1495769291,66502656
1495769292,66502656
1495769293,66502656
1495769294,66502656
1495769295,66502656
1495769296,66502656
1495769297,66502656
1495769298,66502656
1495769299,66502656
1495769300,66502656
1495769301,66502656
1495769302,66502656
1495769303,66502656
1495769304,66502656
1495769305,66502656
1495769306,66502656
1495769307,66502656
1495769308,66502656
1495769309,66502656
1495769310,66502656
1495769311,66502656
1495769312,66502656
1495769313,66502656
1495769314,66502656
1495769315,66502656
1495769316,66502656
1495769317,66502656
1495769318,66502656
1495769319,66502656
1495769320,66502656
1495769321,66502656
1495769322,66502656
1495769323,66502656
1495769324,66502656
1495769325,66502656
1495769326,66502656
1495769327,66502656
1495769328,66502656
1495769329,66502656
1495769330,66502656
1495769331,66502656
1495769332,66502656
1495769333,66502656
1495769334,66502656
1495769335,66502656
1495769336,66502656
1495769337,66502656
1495769338,66502656
1495769339,66502656
1495769340,66502656
1495769341,66502656
1495769342,66502656
1495769343,66502656
1495769344,66502656
1495769345,66502656
1495769346,66502656
1495769347,66502656
1495769348,66502656
1495769349,66502656
1495769350,66502656
1495769351,66502656
1495769352,66502656
1495769353,66502656
1495769354,66502656
1495769355,66502656
1495769356,66502656
1495769357,66502656
1495769358,66502656
1495769359,66502656
1495769360,66502656
1495769361,66502656
1495769362,66502656
1495769363,66502656
1495769364,66502656
1495769365,66502656
1495769366,66502656
1495769367,66502656
