t,value
1495769189,0
1495769190,0
1495769191,0
1495769192,0
1495769193,0
1495769194,0
1495769195,0
1495769196,0
1495769197,0
1495769198,0
1495769199,0
1495769200,0
1495769201,0
1495769202,0
1495769203,0
1495769204,0
1495769205,0
1495769206,0
1495769207,0
1495769208,0
1495769209,0
1495769210,0
1495769211,0
1495769212,0
1495769213,0
1495769214,0
1495769215,0
1495769216,0
1495769217,0
1495769218,0
1495769219,0
1495769220,0
1495769221,0
1495769222,0
1495769223,0
1495769224,0
1495769225,0
1495769226,0
1495769227,0
1495769228,0
1495769229,0
1495769230,0
1495769231,0
1495769232,0
1495769233,0
1495769234,0
1495769235,0
1495769236,0
1495769237,0
1495769238,0
1495769239,0
1495769240,0
1495769241,0
1495769242,0
1495769243,0
1495769244,0
1495769245,0
1495769246,0
1495769247,0
1495769248,0
1495769249,0
1495769250,0
1495769251,0
1495769252,0
1495769253,0
1495769254,0
1495769255,0
1495769256,0
1495769257,0
1495769258,0
1495769259,0
1495769260,0
1495769261,0
1495769262,0
1495769263,0
1495769264,0
1495769265,0
1495769266,0
1495769267,0
1495769268,0
1495769269,0
1495769270,0
1495769271,0
1495769272,0
1495769273,0
1495769274,0
1495769275,0
1495769276,0
1495769277,0
1495769278,0
1495769279,0
1495769280,0
1495769281,0
1495769282,0
1495769283,0
1495769284,0
1495769285,0
1495769286,0
1495769287,0
1495769288,0
1495769289,0
1495769290,0
1495769291,0
1495769292,0
1495769293,0
1495769294,0
1495769295,0
1495769296,0
1495769297,0
1495769298,0
1495769299,0
1495769300,0
1495769301,0
1495769302,0
1495769303,0
1495769304,0
1495769305,0
1495769306,0
1495769307,0
1495769308,0
1495769309,0
1495769310,0
1495769311,0
1495769312,0
1495769313,0
1495769314,0
1495769315,0
1495769316,0
1495769317,0
1495769318,0
1495769319,0
1495769320,0
1495769321,0
1495769322,0
1495769323,0
1495769324,0
1495769325,0
1495769326,0
1495769327,0
1495769328,0
1495769329,0
1495769330,0
1495769331,0
1495769332,0
1495769333,0
1495769334,0
1495769335,0
1495769336,0
1495769337,0
1495769338,0
1495769339,0
1495769340,0
1495769341,0
1495769342,0
1495769343,0
1495769344,0
1495769345,0
1495769346,0
1495769347,0
1495769348,0
1495769349,0
1495769350,0
1495769351,0
1495769352,0
1495769353,0
1495769354,0
1495769355,0
1495769356,0
1495769357,0
1495769358,0
1495769359,0
1495769360,0
1495769361,0
1495769362,0
1495769363,0
1495769364,0
1495769365,0
1495769366,0
1495769367,0
1495769368,0
1495769369,0
1495769370,0
1495769371,0
1495769372,0
1495769373,0
1495769374,0
1495769375,0
1495769376,0
1495769377,0
1495769378,0
1495769379,0
1495769380,0
1495769381,0
1495769382,0
1495769383,0
1495769384,0
1495769385,0
1495769386,0
1495769387,0
1495769388,0
1495769389,0
1495769390,0
1495769391,0
1495769392,0
1495769393,0
1495769394,0
1495769395,0
1495769396,0
1495769397,0
1495769398,0
1495769399,0
1495769400,0
1495769401,0
1495769402,0
1495769403,0
1495769404,0
1495769405,0
1495769406,0
1495769407,0
1495769408,0
1495769409,0
1495769410,0
1495769411,0
1495769412,0
1495769413,0
1495769414,0
1495769415,0
1495769416,0
1495769417,0
1495769418,0
1495769419,0
1495769420,0
1495769421,0
1495769422,0
1495769423,0
1495769424,0
1495769425,0
1495769426,0
1495769427,0
1495769428,0
1495769429,0
1495769430,0
1495769431,0
1495769432,0
1495769433,0
1495769434,0
1495769435,0
1495769436,0
1495769437,0
1495769438,0
1495769439,0
1495769440,0
1495769441,0
1495769442,0
1495769443,0
1495769444,0
1495769445,0
1495769446,0
1495769447,0
1495769448,0
1495769449,0
1495769450,0
1495769451,0
1495769452,0
1495769453,0
1495769454,0
1495769455,0
1495769456,0
1495769457,0
1495769458,0
1495769459,0
1495769460,0
1495769461,0
1495769462,0
1495769463,0
1495769464,0
1495769465,0
1495769466,0
1495769467,0
