t,value
1495505712,0
1495505713,1
1495505714,1
1495505715,13
1495505716,13
1495505717,13
1495505718,13
1495505719,13
1495505720,13
1495505721,13
1495505722,13
1495505723,13
1495505724,13
1495505725,13
1495505726,13
1495505727,13
1495505728,13
1495505729,13
1495505730,9
1495505731,9
1495612065,1
1495612066,13
1495612067,13
1495612068,13
1495612069,13
1495612070,13
1495612071,13
1495612072,13
1495612073,13
1495612074,9
1495612075,9
1495612393,1
1495612394,1
1495612395,13
1495612396,13
1495612397,13
1495612398,13
1495612399,13
1495612400,13
1495612401,13
1495612402,13
1495612403,13
1495612404,13
1495612405,13
1495612406,13
1495612407,13
1495612408,13
1495612409,13
1495612410,13
1495612411,9
1495612412,9
1495612413,8
1495613470,1
1495613471,13
1495613472,13
1495613473,13
1495613474,13
1495613475,13
1495613476,13
1495613477,13
1495613478,13
1495613479,9
1495706177,1
1495706178,13
1495706179,13
1495706180,13
1495706181,13
1495706182,13
1495706183,13
1495706184,13
1495706185,13
1495706186,9
1495706187,9
1495706326,1
1495706327,13
1495706328,13
1495706329,13
1495706330,13
1495706331,13
1495706332,13
1495706333,13
1495706334,13
1495706335,13
1495706336,9
1495706949,1
1495706950,1
1495706951,13
1495706952,13
1495706953,13
1495706954,13
1495706955,13
1495706956,13
1495706957,13
1495706958,13
1495706959,13
1495706960,13
1495706961,13
1495706962,13
1495706963,13
1495706964,13
1495706965,13
1495706966,13
1495706967,13
1495706968,9
1495706969,9
1495706970,8
1495712246,1
1495712247,13
1495712248,13
1495712249,13
1495712250,13
1495712251,13
1495712252,13
1495712253,13
1495712254,13
1495712255,13
1495712256,13
1495712257,13
1495712258,13
1495712259,13
1495712260,13
1495712261,13
1495712262,13
1495712263,9
1495712264,9
1495712539,1
1495712540,1
1495712541,13
1495712542,13
1495712543,13
1495712544,13
1495712545,13
1495712546,13
1495712547,13
1495712548,13
1495712549,13
1495712550,13
1495712551,13
1495712552,13
1495712553,13
1495712554,13
1495712555,13
1495712556,13
1495712557,9
1495712558,9
1495712616,1
1495712617,1
1495712618,13
1495712619,13
1495712620,13
1495712621,13
1495712622,13
1495712623,13
1495712624,13
1495712625,13
1495712626,13
1495712627,13
1495712628,13
1495712629,13
1495712630,13
1495712631,9
1495712632,9
1495715513,1
1495715514,1
1495715515,13
1495715516,13
1495715517,13
1495715518,13
1495715519,13
1495715520,13
1495715521,13
1495715522,13
1495715523,13
1495715524,13
1495715525,13
1495715526,13
1495715527,13
1495715528,9
1495715529,9
1495716898,1
1495716899,1
1495716900,13
1495716901,13
1495716902,13
1495716903,13
1495716904,13
1495716905,13
1495716906,13
1495716907,13
1495716908,13
1495716909,13
1495716910,13
1495716911,13
1495716912,13
1495716913,13
1495716914,9
1495716915,8
1495763469,1
1495763470,13
1495763471,13
1495763472,13
1495763473,13
1495763474,13
1495763475,13
1495763476,13
1495763477,13
1495763478,13
1495763479,13
1495763480,13
1495763481,13
1495763482,13
1495763483,9
1495763484,9
1495763556,1
1495763557,13
1495763558,13
1495763559,13
1495763560,13
1495763561,13
1495763562,13
1495763563,13
1495763564,13
1495763565,13
1495763566,13
1495763567,13
1495763568,13
1495763569,13
1495763570,9
1495763571,9
1495769189,93
1495769190,144
1495769191,144
1495769192,144
1495769193,144
1495769194,144
1495769195,144
1495769196,144
1495769197,144
1495769198,144
1495769199,89
1495769200,144
1495769201,144
1495769202,144
1495769203,144
1495769204,144
1495769205,144
1495769206,144
1495769207,144
1495769208,144
1495769209,144
1495769210,144
1495769211,144
1495769212,144
1495769213,144
1495769214,144
1495769215,144
1495769216,144
1495769217,144
1495769218,144
1495769219,144
1495769220,144
1495769221,144
1495769222,144
1495769223,144
1495769224,144
1495769225,144
1495769226,144
1495769227,144
1495769228,144
1495769229,144
1495769230,144
1495769231,144
1495769232,144
1495769233,144
1495769234,144
1495769235,144
1495769236,144
1495769237,144
1495769238,144
1495769239,1
1495769240,144
1495769241,144
1495769242,144
1495769243,144
1495769244,144
1495769245,144
1495769246,144
1495769247,144
1495769248,144
1495769249,144
1495769250,144
1495769251,144
1495769252,144
1495769253,144
1495769254,144
1495769255,144
1495769256,144
1495769257,144
1495769258,144
1495769259,144
1495769260,144
1495769261,144
1495769262,144
1495769263,144
1495769264,144
1495769265,144
1495769266,144
1495769267,144
1495769268,144
1495769269,144
1495769270,144
1495769271,144
1495769272,144
1495769273,144
1495769274,144
1495769275,144
1495769276,144
1495769277,144
1495769278,144
1495769279,144
1495769280,53
1495769281,144
1495769282,144
1495769283,144
1495769284,144
1495769285,144
1495769286,144
1495769287,144
1495769288,144
1495769289,144
1495769290,144
1495769291,144
1495769292,144
1495769293,144
1495769294,144
1495769295,144
1495769296,144
1495769297,144
1495769298,144
1495769299,144
1495769300,144
1495769301,144
1495769302,144
1495769303,144
1495769304,144
1495769305,144
1495769306,144
1495769307,144
1495769308,144
1495769309,144
1495769310,144
1495769311,144
1495769312,144
1495769313,144
1495769314,144
1495769315,144
1495769316,144
1495769317,144
1495769318,144
1495769319,144
1495769320,144
1495769321,144
1495769322,144
1495769323,144
1495769324,144
1495769325,144
1495769326,144
1495769327,144
1495769328,144
1495769329,144
1495769330,144
1495769331,144
1495769332,144
1495769333,144
1495769334,144
1495769335,144
1495769336,144
1495769337,144
1495769338,144
1495769339,144
1495769340,144
1495769341,144
1495769342,72
1495769343,144
1495769344,144
1495769345,144
1495769346,144
1495769347,144
1495769348,144
1495769349,144
1495769350,144
1495769351,144
1495769352,144
1495769353,144
1495769354,144
1495769355,144
1495769356,144
1495769357,144
1495769358,144
1495769359,144
1495769360,144
1495769361,144
1495769362,144
1495769363,144
1495769364,144
1495769365,144
1495769366,144
1495769367,144
1495769368,144
1495769369,144
1495769370,144
1495769371,144
1495769372,144
1495769373,144
1495769374,144
1495769375,144
1495769376,144
1495769377,144
1495769378,144
1495769379,144
1495769380,144
1495769381,144
1495769382,144
1495769383,144
1495769384,144
1495769385,144
1495769386,144
1495769387,144
1495769388,144
1495769389,144
1495769390,144
1495769391,144
1495769392,144
1495769393,144
1495769394,144
1495769395,144
1495769396,144
1495769397,144
1495769398,144
1495769399,144
1495769400,144
1495769401,144
1495769402,144
1495769403,144
1495769404,85
1495769405,144
1495769406,144
1495769407,144
1495769408,144
1495769409,144
1495769410,144
1495769411,144
1495769412,144
1495769413,144
1495769414,144
1495769415,144
1495769416,144
1495769417,144
1495769418,144
1495769419,144
1495769420,144
1495769421,144
1495769422,144
1495769423,144
1495769424,144
1495769425,144
1495769426,144
1495769427,144
1495769428,144
1495769429,144
1495769430,144
1495769431,144
1495769432,144
1495769433,144
1495769434,144
1495769435,144
1495769436,144
1495769437,144
1495769438,144
1495769439,144
1495769440,144
1495769441,144
1495769442,144
1495769443,144
1495769444,144
1495769445,144
1495769446,144
1495769447,144
1495769448,121
1495769449,144
1495769450,144
1495769451,144
1495769452,144
1495769453,144
1495769454,144
1495769455,144
1495769456,144
1495769457,144
1495769458,144
1495769459,144
1495769460,144
1495769461,144
1495769462,144
1495769463,144
1495769464,144
1495769465,144
1495769466,144
1495769467,144
1495769468,144
1495769469,144
1495769470,144
1495769471,144
1495769472,144
1495769473,144
1495769474,144
1495769475,144
1495769476,144
1495769477,144
1495769478,144
1495769479,144
1495769480,144
1495769481,144
1495769482,144
1495769483,144
1495769484,144
1495769485,144
1495769486,144
1495769487,144
1495769488,144
1495769489,75
1495769490,144
1495769491,144
1495769492,144
1495769493,144
1495769494,144
1495769495,144
1495769496,144
1495769497,144
1495769498,144
1495769499,144
1495769500,144
1495769501,144
1495769502,144
1495769503,144
1495769504,144
1495769505,144
1495769506,144
1495769507,144
1495769508,144
1495769509,144
1495769510,144
1495769511,144
1495769512,144
1495769513,144
1495769514,144
1495769515,144
1495769516,144
1495769517,144
1495769518,144
1495769519,144
1495769520,144
1495769521,144
1495769522,144
1495769523,144
1495769524,144
1495769525,144
1495769526,144
1495769527,144
1495769528,144
1495769529,144
1495769530,144
1495769531,144
1495769532,144
1495769533,144
