t,value
1495505712,1
1495505713,1
1495505714,1
1495505715,1
1495505716,1
1495505717,1
1495505718,1
1495505719,1
1495505720,1
1495505721,1
1495505722,1
1495505723,1
1495505724,1
1495505725,1
1495505726,1
1495505727,1
1495505728,1
1495505729,1
1495505730,1
1495505731,1
1495612065,1
1495612066,1
1495612067,1
1495612068,1
1495612069,1
1495612070,1
1495612071,1
1495612072,1
1495612073,1
1495612074,1
1495612075,1
1495612393,1
1495612394,1
1495612395,1
1495612396,1
1495612397,1
1495612398,1
1495612399,1
1495612400,1
1495612401,1
1495612402,1
1495612403,1
1495612404,1
1495612405,1
1495612406,1
1495612407,1
1495612408,1
1495612409,1
1495612410,1
1495612411,1
1495612412,1
1495612413,1
1495613470,1
1495613471,1
1495613472,1
1495613473,1
1495613474,1
1495613475,1
1495613476,1
1495613477,1
1495613478,1
1495613479,1
1495706177,1
1495706178,1
1495706179,1
1495706180,1
1495706181,1
1495706182,1
1495706183,1
1495706184,1
1495706185,1
1495706186,1
1495706187,1
1495706326,1
1495706327,1
1495706328,1
1495706329,1
1495706330,1
1495706331,1
1495706332,1
1495706333,1
1495706334,1
1495706335,1
1495706336,1
1495706949,1
1495706950,1
1495706951,1
1495706952,1
1495706953,1
1495706954,1
1495706955,1
1495706956,1
1495706957,1
1495706958,1
1495706959,1
1495706960,1
1495706961,1
1495706962,1
1495706963,1
1495706964,1
1495706965,1
1495706966,1
1495706967,1
1495706968,1
1495706969,1
1495706970,1
1495712246,1
1495712247,1
1495712248,1
1495712249,1
1495712250,1
1495712251,1
1495712252,1
1495712253,1
1495712254,1
1495712255,1
1495712256,1
1495712257,1
1495712258,1
1495712259,1
1495712260,1
1495712261,1
1495712262,1
1495712263,1
1495712264,1
1495712539,1
1495712540,1
1495712541,1
1495712542,1
1495712543,1
1495712544,1
1495712545,1
1495712546,1
1495712547,1
1495712548,1
1495712549,1
1495712550,1
1495712551,1
1495712552,1
1495712553,1
1495712554,1
1495712555,1
1495712556,1
1495712557,1
1495712558,1
1495712616,1
1495712617,1
1495712618,1
1495712619,1
1495712620,1
1495712621,1
1495712622,1
1495712623,1
1495712624,1
1495712625,1
1495712626,1
1495712627,1
1495712628,1
1495712629,1
1495712630,1
1495712631,1
1495712632,1
1495715513,1
1495715514,1
1495715515,1
1495715516,1
1495715517,1
1495715518,1
1495715519,1
1495715520,1
1495715521,1
1495715522,1
1495715523,1
1495715524,1
1495715525,1
1495715526,1
1495715527,1
1495715528,1
1495715529,1
1495716898,1
1495716899,1
1495716900,1
1495716901,1
1495716902,1
1495716903,1
1495716904,1
1495716905,1
1495716906,1
1495716907,1
1495716908,1
1495716909,1
1495716910,1
1495716911,1
1495716912,1
1495716913,1
1495716914,1
1495716915,1
1495763469,1
1495763470,1
1495763471,1
1495763472,1
1495763473,1
1495763474,1
1495763475,1
1495763476,1
1495763477,1
1495763478,1
1495763479,1
1495763480,1
1495763481,1
1495763482,1
1495763483,1
1495763484,1
1495763556,1
1495763557,1
1495763558,1
1495763559,1
1495763560,1
1495763561,1
1495763562,1
1495763563,1
1495763564,1
1495763565,1
1495763566,1
1495763567,1
1495763568,1
1495763569,1
1495763570,1
1495763571,1
1495769189,1
1495769190,1
1495769191,1
1495769192,1
1495769193,1
1495769194,1
1495769195,1
1495769196,1
1495769197,1
1495769198,1
1495769199,1
1495769200,1
1495769201,1
1495769202,1
1495769203,1
1495769204,1
1495769205,1
1495769206,1
1495769207,1
1495769208,1
1495769209,1
1495769210,1
1495769211,1
1495769212,1
1495769213,1
1495769214,1
1495769215,1
1495769216,1
1495769217,1
1495769218,1
1495769219,1
1495769220,1
1495769221,1
1495769222,1
1495769223,1
1495769224,1
1495769225,1
1495769226,1
1495769227,1
1495769228,1
1495769229,1
1495769230,1
1495769231,1
1495769232,1
1495769233,1
1495769234,1
1495769235,1
1495769236,1
1495769237,1
1495769238,1
1495769239,1
1495769240,1
1495769241,1
1495769242,1
1495769243,1
1495769244,1
1495769245,1
1495769246,1
1495769247,1
1495769248,1
1495769249,1
1495769250,1
1495769251,1
1495769252,1
1495769253,1
1495769254,1
1495769255,1
1495769256,1
1495769257,1
1495769258,1
1495769259,1
1495769260,1
1495769261,1
1495769262,1
1495769263,1
1495769264,1
1495769265,1
1495769266,1
1495769267,1
1495769268,1
1495769269,1
1495769270,1
1495769271,1
1495769272,1
1495769273,1
1495769274,1
1495769275,1
1495769276,1
1495769277,1
1495769278,1
1495769279,1
1495769280,1
1495769281,1
1495769282,1
1495769283,1
1495769284,1
1495769285,1
1495769286,1
1495769287,1
1495769288,1
1495769289,1
1495769290,1
1495769291,1
1495769292,1
1495769293,1
1495769294,1
1495769295,1
1495769296,1
1495769297,1
1495769298,1
1495769299,1
1495769300,1
1495769301,1
1495769302,1
1495769303,1
1495769304,1
1495769305,1
1495769306,1
1495769307,1
1495769308,1
1495769309,1
1495769310,1
1495769311,1
1495769312,1
1495769313,1
1495769314,1
1495769315,1
1495769316,1
1495769317,1
1495769318,1
1495769319,1
1495769320,1
1495769321,1
1495769322,1
1495769323,1
1495769324,1
1495769325,1
1495769326,1
1495769327,1
1495769328,1
1495769329,1
1495769330,1
1495769331,1
1495769332,1
1495769333,1
1495769334,1
1495769335,1
1495769336,1
1495769337,1
1495769338,1
1495769339,1
1495769340,1
1495769341,1
1495769342,1
1495769343,1
1495769344,1
1495769345,1
1495769346,1
1495769347,1
1495769348,1
1495769349,1
1495769350,1
1495769351,1
1495769352,1
1495769353,1
1495769354,1
1495769355,1
1495769356,1
1495769357,1
1495769358,1
1495769359,1
1495769360,1
1495769361,1
1495769362,1
1495769363,1
1495769364,1
1495769365,1
1495769366,1
1495769367,1
1495769368,1
1495769369,1
1495769370,1
1495769371,1
1495769372,1
1495769373,1
1495769374,1
1495769375,1
1495769376,1
1495769377,1
1495769378,1
1495769379,1
1495769380,1
1495769381,1
1495769382,1
1495769383,1
1495769384,1
1495769385,1
1495769386,1
1495769387,1
1495769388,1
1495769389,1
1495769390,1
1495769391,1
1495769392,1
1495769393,1
1495769394,1
1495769395,1
1495769396,1
1495769397,1
1495769398,1
1495769399,1
1495769400,1
1495769401,1
1495769402,1
1495769403,1
1495769404,1
1495769405,1
1495769406,1
1495769407,1
1495769408,1
1495769409,1
1495769410,1
1495769411,1
1495769412,1
1495769413,1
1495769414,1
1495769415,1
1495769416,1
1495769417,1
1495769418,1
1495769419,1
1495769420,1
1495769421,1
1495769422,1
1495769423,1
1495769424,1
1495769425,1
1495769426,1
1495769427,1
1495769428,1
1495769429,1
1495769430,1
1495769431,1
1495769432,1
1495769433,1
1495769434,1
1495769435,1
1495769436,1
1495769437,1
1495769438,1
1495769439,1
1495769440,1
1495769441,1
1495769442,1
1495769443,1
1495769444,1
1495769445,1
1495769446,1
1495769447,1
1495769448,1
1495769449,1
1495769450,1
1495769451,1
1495769452,1
1495769453,1
1495769454,1
1495769455,1
1495769456,1
1495769457,1
1495769458,1
1495769459,1
1495769460,1
1495769461,1
1495769462,1
1495769463,1
1495769464,1
1495769465,1
1495769466,1
1495769467,1
1495769468,1
1495769469,1
1495769470,1
1495769471,1
1495769472,1
1495769473,1
1495769474,1
1495769475,1
1495769476,1
1495769477,1
1495769478,1
1495769479,1
1495769480,1
1495769481,1
1495769482,1
1495769483,1
1495769484,1
1495769485,1
1495769486,1
1495769487,1
1495769488,1
1495769489,1
1495769490,1
1495769491,1
1495769492,1
1495769493,1
1495769494,1
1495769495,1
1495769496,1
1495769497,1
1495769498,1
1495769499,1
1495769500,1
1495769501,1
1495769502,1
1495769503,1
1495769504,1
1495769505,1
1495769506,1
1495769507,1
1495769508,1
1495769509,1
1495769510,1
1495769511,1
1495769512,1
1495769513,1
1495769514,1
1495769515,1
1495769516,1
1495769517,1
1495769518,1
1495769519,1
1495769520,1
1495769521,1
1495769522,1
1495769523,1
1495769524,1
1495769525,1
1495769526,1
1495769527,1
1495769528,1
1495769529,1
1495769530,1
1495769531,1
1495769532,1
1495769533,1
1495769534,1
1495769535,1
1495769536,1
1495769537,1
1495769538,1
1495769539,1
1495769540,1
1495769541,1
1495769542,1
1495769543,1
1495769544,1
1495769545,1
1495769546,1
1495769547,1
1495769548,1
1495769549,1
1495769550,1
1495769551,1
1495769552,1
1495769553,1
1495769554,1
1495769555,1
1495769556,1
1495769557,1
1495769558,1
1495769559,1
1495769560,1
1495769561,1
1495769562,1
1495769563,1
1495769564,1
1495769565,1
1495769566,1
1495769567,1
1495769568,1
1495769569,1
1495769570,1
1495769571,1
1495769572,1
1495769573,1
1495769574,1
1495769575,1
1495769576,1
1495769577,1
1495769578,1
1495769579,1
1495769580,1
1495769581,1
1495769582,1
1495769583,1
1495769584,1
1495769585,1
1495769586,1
1495769587,1
1495769588,1
1495769589,1
1495769590,1
1495769591,1
1495769592,1
1495769593,1
1495769594,1
1495769595,1
1495769596,1
1495769597,1
1495769598,1
1495769599,1
1495769600,1
1495769601,1
1495769602,1
1495769603,1
1495769604,1
1495769605,1
1495769606,1
1495769607,1
1495769608,1
1495769609,1
1495769610,1
1495769611,1
1495769612,1
1495769613,1
1495769614,1
1495769615,1
1495769616,1
1495769617,1
1495769618,1
1495769619,1
1495769620,1
1495769621,1
1495769622,1
1495769623,1
1495769624,1
1495769625,1
1495769626,1
1495769627,1
1495769628,1
1495769629,1
1495769630,1
1495769631,1
1495769632,1
1495769633,1
1495769634,1
1495769635,1
1495769636,1
1495769637,1
1495769638,1
1495769639,1
1495769640,1
1495769641,1
1495769642,1
1495769643,1
1495769644,1
1495769645,1
1495769646,1
1495769647,1
1495769648,1
1495769649,1
1495769650,1
1495769651,1
1495769652,1
1495769653,1
1495769654,1
1495769655,1
1495769656,1
1495769657,1
1495769658,1
1495769659,1
1495769660,1
1495769661,1
1495769662,1
1495769663,1
1495769664,1
1495769665,1
1495769666,1
1495769667,1
1495769668,1
1495769669,1
1495769670,1
1495769671,1
1495769672,1
1495769673,1
1495769674,1
1495769675,1
1495769676,1
1495769677,1
1495769678,1
1495769679,1
1495769680,1
1495769681,1
1495769682,1
1495769683,1
1495769684,1
1495769685,1
1495769686,1
1495769687,1
1495769688,1
1495769689,1
1495769690,1
1495769691,1
1495769692,1
1495769693,1
1495769694,1
1495769695,1
1495769696,1
1495769697,1
1495769698,1
1495769699,1
1495769700,1
1495769701,1
1495769702,1
1495769703,1
1495769704,1
1495769705,1
1495769706,1
1495769707,1
1495769708,1
1495769709,1
1495769710,1
1495769711,1
1495769712,1
1495769713,1
1495769714,1
1495769715,1
1495769716,1
1495769717,1
1495769718,1
1495769719,1
1495769720,1
1495769721,1
1495769722,1
1495769723,1
1495769724,1
1495769725,1
1495769726,1
1495769727,1
1495769728,1
1495769729,1
1495769730,1
1495769731,1
1495769732,1
1495769733,1
1495769734,1
1495769735,1
1495769736,1
1495769737,1
1495769738,1
1495769739,1
1495769740,1
1495769741,1
1495769742,1
1495769743,1
1495769744,1
1495769745,1
1495769746,1
1495769747,1
1495769748,1
1495769749,1
1495769750,1
1495769751,1
1495769752,1
1495769753,1
1495769754,1
1495769755,1
1495769756,1
1495769757,1
1495769758,1
1495769759,1
1495769760,1
1495769761,1
1495769762,1
1495769763,1
1495769764,1
1495769765,1
1495769766,1
1495769767,1
1495769768,1
1495769769,1
1495769770,1
1495769771,1
1495769772,1
1495769773,1
1495769774,1
1495769775,1
1495769776,1
1495769777,1
1495769778,1
1495769779,1
1495769780,1
1495769781,1
1495769782,1
1495769783,1
1495769784,1
1495769785,1
1495769786,1
1495769787,1
1495769788,1
1495769789,1
1495769790,1
1495769791,1
1495769792,1
1495769793,1
1495769794,1
1495769795,1
1495769796,1
1495769797,1
1495769798,1
1495769799,1
1495769800,1
1495769801,1
1495769802,1
1495769803,1
1495769804,1
1495769805,1
1495769806,1
1495769807,1
1495769808,1
1495769809,1
1495769810,1
1495769811,1
1495769812,1
1495769813,1
1495769814,1
1495769815,1
1495769816,1
1495769817,1
1495769818,1
1495769819,1
1495769820,1
1495769821,1
1495769822,1
1495769823,1
1495769824,1
1495769825,1
1495769826,1
1495769827,1
1495769828,1
1495769829,1
1495769830,1
1495769831,1
1495769832,1
1495769833,1
1495769834,1
1495769835,1
1495769836,1
1495769837,1
1495769838,1
1495808745,1
1495808746,1
1495808747,1
1495808748,1
1495808749,1
1495808750,1
1495808751,1
1495808752,1
1495808753,1
1495808754,1
1495808755,1
1495808756,1
1495808757,1
1495808758,1
1495808759,1
1495808760,1
1495808761,1
1495808762,1
1495808763,1
1495808764,1
1495808765,1
1495808766,1
1495808767,1
1495808768,1
1495808769,1
1495808770,1
1495808771,1
1495808772,1
1495808773,1
1495808774,1
1495808775,1
1495808776,1
1495808777,1
1495808778,1
1495808779,1
1495808780,1
1495808781,1
1495808782,1
1495808783,1
1495808784,1
1495808785,1
