t,value
1493609212,1024
1493609213,1024
1493609214,295936
1493609215,295936
1493609216,295936
1493609217,295936
1493609218,295936
1493609219,295936
1493609220,295936
1493609221,295936
1493609222,295936
1493609223,295936
1493609224,295936
1493609225,295936
1493609226,295936
1493609227,295936
1493609228,295936
1493609229,295936
1493609230,295936
1493609231,295936
1493609246,1024
1493609247,1024
1493609248,1024
1493609249,295936
1493609250,295936
1493609251,295936
1493609252,295936
1493609253,295936
1493609254,295936
1493609255,295936
1493609256,295936
1493609257,295936
1493609258,295936
1493609259,295936
1493609260,295936
1493609261,295936
1493609262,295936
1493609263,295936
1493609264,295936
1493609265,295936
1493609266,294912
1493609283,1024
1493609284,1024
1493609285,1024
1493609286,295936
1493609287,295936
1493609288,295936
1493609289,295936
1493609290,295936
1493609291,295936
1493609292,295936
1493609293,295936
1493609294,295936
1493609295,295936
1493609296,295936
1493609297,295936
1493609298,295936
1493609299,295936
1493609300,295936
1493609301,295936
1493609302,295936
1493609303,294912
1493609534,1024
1493609535,1024
1493609536,1024
1493609537,13312
1493609538,13312
1493609539,13312
1493609540,13312
1493609541,13312
1493609542,13312
1493609543,13312
1493609544,13312
1493609545,13312
1493609546,13312
1493609547,13312
1493609548,13312
1493609549,13312
1493609550,13312
1493609551,13312
1493609552,13312
1493609553,13312
1493609554,12288
1493609645,1024
1493609646,1024
1493609647,1024
1493609648,13312
1493609649,13312
1493609650,13312
1493609651,13312
1493609652,13312
1493609653,13312
1493609654,13312
1493609655,13312
1493609656,13312
1493609657,13312
1493609658,13312
1493609659,12288
1493609660,9216
1493609661,9216
1493609662,8192
1493609696,1024
1493609697,1024
1493609698,1024
1493609699,13312
1493609700,13312
1493609701,13312
1493609702,13312
1493609703,13312
1493609704,13312
1493609705,13312
1493609706,13312
1493609707,13312
1493609708,13312
1493609709,13312
1493609710,12288
1493609711,9216
1493609733,1024
1493609734,1024
1493609735,1024
1493609736,13312
1493609737,13312
1493609738,13312
1493609739,13312
1493609740,13312
1493609741,13312
1493609742,13312
1493609743,13312
1493609744,13312
1493609745,13312
1493609746,13312
1493609747,12288
1493609748,10240
1493609749,9216
1493609750,9216
1493609751,8192
1493610010,2048
1493610011,2048
1493610012,2048
1493610013,20480
1493610014,20480
1493610015,20480
1493610016,20480
1493610017,20480
1493610018,20480
1493610019,20480
1493610020,20480
1493610021,20480
1493610022,20480
1493610023,20480
1493610024,19456
1493610025,16384
1493610026,16384
1493610027,15360
1493610028,7168
1493610029,7168
1493610030,5120
1493610699,2048
1493610700,2048
1493610701,2048
1493610702,20480
1493610703,20480
1493610704,20480
1493610705,20480
1493610706,20480
1493610707,20480
1493610708,20480
1493610709,20480
1493610710,20480
1493610711,20480
1493610712,20480
1493610713,19456
1493610714,16384
1493610715,16384
1493610716,15360
1493610717,7168
1493610718,7168
1493610719,5120
1493610857,2048
1493610858,2048
1493610859,2048
1493610860,20480
1493610861,20480
1493610862,20480
1493610863,20480
1493610864,20480
1493610865,20480
1493610866,20480
1493610867,20480
1493610868,20480
1493610869,20480
1493610870,20480
1493610871,19456
1493610872,16384
1493610873,16384
1493610874,15360
1493610875,7168
1493610876,7168
1493610877,5120
1493816574,2048
1493816575,2048
1493816576,20480
1493816577,20480
1493816578,20480
1493816824,0
1493816825,2048
1493816826,2048
1493816827,20480
1493816828,20480
1493816829,20480
1493816830,20480
1493816831,20480
1493816832,20480
1493816833,20480
1493816834,20480
1493816835,20480
1493816836,20480
1493816837,20480
1493816838,20480
1493816839,16384
1493816840,15360
1493816841,7168
1493816842,7168
1493816843,7168
1493817072,2048
1493817073,2048
1493817074,20480
1493817075,20480
1493817076,20480
1493817077,20480
1493817078,20480
1493817079,20480
1493817080,20480
1493817081,20480
1493817082,20480
1493817083,20480
1493817084,20480
1493817085,20480
1493817086,16384
1493817087,16384
1493817088,15360
1493817089,7168
1493817090,7168
1493817091,5120
1493867281,1024
1493867282,2048
1493867283,29696
1493867284,29696
1493867285,29696
1493867286,29696
1493867287,29696
1493867288,29696
1493867289,29696
1493867290,29696
1493867291,28672
1493867292,24576
1493867293,24576
1493867294,13312
1493867295,13312
1493867296,13312
1493867297,13312
1493867298,13312
1493867299,13312
1493867300,13312
1493867337,1024
1493867338,2048
1493867339,2048
1493867340,29696
1493867341,29696
1493867342,29696
1493867343,29696
1493867344,29696
1493867345,29696
1493867346,29696
1493867347,29696
1493867348,24576
1493867349,24576
1493867350,13312
1493867351,13312
1493867352,13312
1493867353,13312
1493867354,13312
1493867355,13312
1493867356,13312
1493867357,13312
1493867358,9216
1493867359,9216
1493867492,1024
1493867493,2048
1493867494,2048
1493867495,29696
1493867496,29696
1493867497,29696
1493867498,29696
1493867499,29696
1493867500,29696
1493867501,29696
1493867502,29696
1493867503,24576
1493867504,24576
1493867505,23552
1493867506,13312
1493867507,13312
1493867508,13312
1493867509,13312
1493867510,13312
1493867511,13312
1493867512,13312
1493867513,9216
1493867514,9216
1493867515,8192
1493868052,1024
1493868053,1024
1493868054,1024
1493868055,16384
1493868056,17408
1493868057,17408
1493868058,29696
1493868059,29696
1493868060,29696
1493868061,29696
1493868062,29696
1493868063,24576
1493868064,24576
1493868065,23552
1493868066,13312
1493868067,13312
1493868068,13312
1493868069,13312
1493868070,13312
1493868071,13312
1493868072,13312
1493868073,13312
1493868074,13312
1493868075,13312
1493868076,9216
1493868077,9216
1493868078,8192
1493868220,1024
1493868221,1024
1493868222,1024
1493868223,16384
1493868224,17408
1493868225,17408
1493868226,29696
1493868227,29696
1493868228,29696
1493868229,29696
1493868230,29696
1493868231,24576
1493868232,24576
1493868233,13312
1493868234,13312
1493868235,13312
1493868236,13312
1493868237,13312
1493868238,13312
1493868239,13312
1493868240,13312
1493868241,13312
1493868242,13312
1493868243,13312
1493868244,9216
1493868245,9216
1493868246,8192
1493869001,1024
1493869002,1024
1493869003,16384
1493869004,17408
1493869005,17408
1493869006,29696
1493869007,29696
1493869008,29696
1493869009,29696
1493869010,29696
1493869011,29696
1493869012,24576
1493869013,24576
1493869014,13312
1493869015,13312
1493869016,13312
1493869017,13312
1493869018,13312
1493869019,13312
1493869020,13312
1493869021,13312
1493869022,13312
1493869023,13312
1493869024,13312
1493869025,13312
1493869026,13312
1493869027,13312
1493869028,13312
1493869029,9216
1493869030,9216
1493869031,8192
1493875899,0
1493875900,1024
1493875901,1024
1493875902,16384
1493875903,17408
1493875904,17408
1493875905,29696
1493875906,29696
1493875907,29696
1493875908,29696
1493875909,29696
1493875910,24576
1493875911,24576
1493875912,13312
1493875913,13312
1493875914,13312
1493875915,13312
1493875916,13312
1493875917,13312
1493875918,13312
1493875919,13312
1493875920,13312
1493875921,13312
1493875922,13312
1493875923,13312
1493875924,13312
1493875925,13312
1493875926,13312
1493875927,13312
1493875928,9216
1493875929,9216
1493876045,0
1493876046,1024
1493876047,1024
1493876048,16384
1493876049,17408
1493876050,17408
1493876051,29696
1493876052,29696
1493876053,29696
1493876054,29696
1493876055,29696
1493876056,29696
1493876057,29696
1493876058,29696
1493876059,29696
1493876060,29696
1493876061,29696
1493876062,29696
1493876063,29696
1493876064,29696
1493876065,29696
1493876066,29696
1493876067,29696
1493876068,29696
1493876069,29696
1493876070,29696
1493876071,24576
1493876072,24576
1493876073,13312
1493876074,13312
1493876075,13312
1493876076,13312
1493876077,13312
1493876078,13312
1493876079,13312
1493876080,13312
1493876081,13312
1493876082,13312
1493876083,13312
1493876084,13312
1493876085,13312
1493876086,13312
1493876087,13312
1493876088,13312
1493876089,13312
1493876090,13312
1493876091,13312
1493876092,13312
1493876093,13312
1493876094,13312
1493876095,13312
1493876128,1024
1493876129,1024
1493876130,1024
1493876131,16384
1493876132,17408
1493876133,17408
1493876134,29696
1493876135,29696
1493876136,29696
1493876137,29696
1493876138,29696
1493876139,29696
1493876140,29696
