t,value
1493609212,1
1493609213,1
1493609214,289
1493609215,289
1493609216,289
1493609217,289
1493609218,289
1493609219,289
1493609220,289
1493609221,289
1493609222,289
1493609223,289
1493609224,289
1493609225,289
1493609226,289
1493609227,289
1493609228,289
1493609229,289
1493609230,289
1493609231,289
1493609246,1
1493609247,1
1493609248,1
1493609249,289
1493609250,289
1493609251,289
1493609252,289
1493609253,289
1493609254,289
1493609255,289
1493609256,289
1493609257,289
1493609258,289
1493609259,289
1493609260,289
1493609261,289
1493609262,289
1493609263,289
1493609264,289
1493609265,289
1493609266,288
1493609283,1
1493609284,1
1493609285,1
1493609286,289
1493609287,289
1493609288,289
1493609289,289
1493609290,289
1493609291,289
1493609292,289
1493609293,289
1493609294,289
1493609295,289
1493609296,289
1493609297,289
1493609298,289
1493609299,289
1493609300,289
1493609301,289
1493609302,289
1493609303,288
1493609534,1
1493609535,1
1493609536,1
1493609537,13
1493609538,13
1493609539,13
1493609540,13
1493609541,13
1493609542,13
1493609543,13
1493609544,13
1493609545,13
1493609546,13
1493609547,13
1493609548,13
1493609549,13
1493609550,13
1493609551,13
1493609552,13
1493609553,13
1493609554,12
1493609645,1
1493609646,1
1493609647,1
1493609648,13
1493609649,13
1493609650,13
1493609651,13
1493609652,13
1493609653,13
1493609654,13
1493609655,13
1493609656,13
1493609657,13
1493609658,13
1493609659,12
1493609660,9
1493609661,9
1493609662,8
1493609696,1
1493609697,1
1493609698,1
1493609699,13
1493609700,13
1493609701,13
1493609702,13
1493609703,13
1493609704,13
1493609705,13
1493609706,13
1493609707,13
1493609708,13
1493609709,13
1493609710,12
1493609711,9
1493609733,1
1493609734,1
1493609735,1
1493609736,13
1493609737,13
1493609738,13
1493609739,13
1493609740,13
1493609741,13
1493609742,13
1493609743,13
1493609744,13
1493609745,13
1493609746,13
1493609747,12
1493609748,10
1493609749,9
1493609750,9
1493609751,8
1493610010,2
1493610011,2
1493610012,2
1493610013,20
1493610014,20
1493610015,20
1493610016,20
1493610017,20
1493610018,20
1493610019,20
1493610020,20
1493610021,20
1493610022,20
1493610023,20
1493610024,19
1493610025,16
1493610026,16
1493610027,15
1493610028,7
1493610029,7
1493610030,5
1493610699,2
1493610700,2
1493610701,2
1493610702,20
1493610703,20
1493610704,20
1493610705,20
1493610706,20
1493610707,20
1493610708,20
1493610709,20
1493610710,20
1493610711,20
1493610712,20
1493610713,19
1493610714,16
1493610715,16
1493610716,15
1493610717,7
1493610718,7
1493610719,5
1493610857,2
1493610858,2
1493610859,2
