t,value
1493609212,40960
1493609213,40960
1493609214,40960
1493609215,40960
1493609216,40960
1493609217,40960
1493609218,40960
1493609219,40960
1493609220,40960
1493609221,40960
1493609222,40960
1493609223,40960
1493609224,40960
1493609225,40960
1493609226,40960
1493609227,40960
1493609228,40960
1493609229,40960
1493609230,40960
1493609231,40960
1493609246,40960
1493609247,40960
1493609248,40960
1493609249,40960
1493609250,40960
1493609251,40960
1493609252,40960
1493609253,40960
1493609254,40960
1493609255,40960
1493609256,40960
1493609257,40960
1493609258,40960
1493609259,40960
1493609260,40960
1493609261,40960
1493609262,40960
1493609263,40960
1493609264,40960
1493609265,40960
1493609266,40960
1493609283,40960
1493609284,40960
1493609285,40960
1493609286,40960
1493609287,40960
1493609288,40960
1493609289,40960
1493609290,40960
1493609291,40960
1493609292,40960
1493609293,40960
1493609294,40960
1493609295,40960
1493609296,40960
1493609297,40960
1493609298,40960
1493609299,40960
1493609300,40960
1493609301,40960
1493609302,40960
1493609303,40960
1493609534,40960
1493609535,40960
1493609536,40960
1493609537,40960
1493609538,40960
1493609539,40960
1493609540,40960
1493609541,40960
1493609542,40960
1493609543,40960
1493609544,40960
1493609545,40960
1493609546,40960
1493609547,40960
1493609548,40960
1493609549,40960
1493609550,40960
1493609551,40960
1493609552,40960
1493609553,40960
1493609554,40960
1493609645,40960
1493609646,40960
1493609647,40960
1493609648,40960
1493609649,40960
1493609650,40960
1493609651,40960
1493609652,40960
1493609653,40960
1493609654,40960
1493609655,40960
1493609656,40960
1493609657,40960
1493609658,40960
1493609659,40960
1493609660,40960
1493609661,40960
1493609662,40960
1493609696,40960
1493609697,40960
1493609698,40960
1493609699,40960
1493609700,40960
1493609701,40960
1493609702,40960
1493609703,40960
1493609704,40960
1493609705,40960
1493609706,40960
1493609707,40960
1493609708,40960
1493609709,40960
1493609710,40960
1493609711,40960
1493609733,40960
1493609734,40960
1493609735,40960
1493609736,40960
1493609737,40960
1493609738,40960
1493609739,40960
1493609740,40960
1493609741,40960
1493609742,40960
1493609743,40960
1493609744,40960
1493609745,40960
1493609746,40960
1493609747,40960
1493609748,40960
1493609749,40960
1493609750,40960
1493609751,40960
1493610010,40960
1493610011,40960
1493610012,40960
1493610013,40960
1493610014,40960
1493610015,40960
1493610016,40960
1493610017,40960
1493610018,40960
1493610019,40960
1493610020,40960
1493610021,40960
1493610022,40960
1493610023,40960
1493610024,40960
1493610025,40960
1493610026,40960
1493610027,40960
1493610028,40960
1493610029,40960
1493610030,40960
1493610699,40960
1493610700,40960
1493610701,40960
1493610702,40960
1493610703,40960
