t,value
1493609212,40
1493609213,40
1493609214,40
1493609215,40
1493609216,40
1493609217,40
1493609218,40
1493609219,40
1493609220,40
1493609221,40
1493609222,40
1493609223,40
1493609224,40
1493609225,40
1493609226,40
1493609227,40
1493609228,40
1493609229,40
1493609230,40
1493609231,40
1493609246,40
1493609247,40
1493609248,40
1493609249,40
1493609250,40
1493609251,40
1493609252,40
1493609253,40
1493609254,40
1493609255,40
1493609256,40
1493609257,40
1493609258,40
1493609259,40
1493609260,40
1493609261,40
1493609262,40
1493609263,40
1493609264,40
1493609265,40
1493609266,40
1493609283,40
1493609284,40
1493609285,40
1493609286,40
1493609287,40
1493609288,40
1493609289,40
1493609290,40
1493609291,40
1493609292,40
1493609293,40
1493609294,40
1493609295,40
1493609296,40
1493609297,40
1493609298,40
1493609299,40
1493609300,40
1493609301,40
1493609302,40
1493609303,40
1493609534,40
1493609535,40
1493609536,40
1493609537,40
1493609538,40
1493609539,40
1493609540,40
1493609541,40
1493609542,40
1493609543,40
1493609544,40
1493609545,40
1493609546,40
1493609547,40
1493609548,40
1493609549,40
1493609550,40
1493609551,40
1493609552,40
1493609553,40
1493609554,40
1493609645,40
1493609646,40
1493609647,40
1493609648,40
1493609649,40
1493609650,40
1493609651,40
1493609652,40
1493609653,40
1493609654,40
1493609655,40
1493609656,40
1493609657,40
1493609658,40
1493609659,40
1493609660,40
1493609661,40
1493609662,40
1493609696,40
1493609697,40
1493609698,40
1493609699,40
1493609700,40
1493609701,40
1493609702,40
1493609703,40
1493609704,40
1493609705,40
1493609706,40
1493609707,40
1493609708,40
1493609709,40
1493609710,40
1493609711,40
1493609733,40
1493609734,40
1493609735,40
1493609736,40
1493609737,40
1493609738,40
1493609739,40
1493609740,40
1493609741,40
1493609742,40
1493609743,40
1493609744,40
1493609745,40
1493609746,40
1493609747,40
1493609748,40
1493609749,40
1493609750,40
1493609751,40
1493610010,40
1493610011,40
1493610012,40
1493610013,40
1493610014,40
1493610015,40
1493610016,40
1493610017,40
1493610018,40
1493610019,40
1493610020,40
1493610021,40
1493610022,40
1493610023,40
1493610024,40
1493610025,40
1493610026,40
1493610027,40
1493610028,40
1493610029,40
1493610030,40
1493610699,40
1493610700,40
1493610701,40
1493610702,40
1493610703,40
1493610704,40
1493610705,40
1493610706,40
1493610707,40
1493610708,40
1493610709,40
1493610710,40
1493610711,40
1493610712,40
1493610713,40
1493610714,40
1493610715,40
1493610716,40
1493610717,40
1493610718,40
1493610719,40
1493610857,40
1493610858,40
1493610859,40
1493610860,40
1493610861,40
1493610862,40
1493610863,40
1493610864,40
1493610865,40
1493610866,40
1493610867,40
1493610868,40
1493610869,40
1493610870,40
1493610871,40
1493610872,40
1493610873,40
1493610874,40
1493610875,40
1493610876,40
1493610877,40
1493816574,40
1493816575,40
1493816576,40
1493816577,40
1493816578,40
1493816824,40
1493816825,40
1493816826,40
1493816827,40
1493816828,40
1493816829,40
1493816830,40
1493816831,40
1493816832,40
1493816833,40
1493816834,40
1493816835,40
1493816836,40
1493816837,40
1493816838,40
1493816839,40
1493816840,40
1493816841,40
1493816842,40
1493816843,40
1493817072,40
1493817073,40
1493817074,40
1493817075,40
1493817076,40
1493817077,40
1493817078,40
1493817079,40
1493817080,40
1493817081,40
1493817082,40
1493817083,40
1493817084,40
1493817085,40
1493817086,40
1493817087,40
1493817088,40
1493817089,40
1493817090,40
1493817091,40
1493867281,40
1493867282,40
1493867283,40
1493867284,40
1493867285,40
1493867286,40
1493867287,40
