t,value
1493609212,1024
1493609213,1024
1493609214,1024
1493609215,1024
1493609216,1024
1493609217,1024
1493609218,1024
1493609219,1024
1493609220,1024
1493609221,1024
1493609222,1024
1493609223,1024
1493609224,1024
1493609225,1024
1493609226,1024
1493609227,1024
1493609228,1024
1493609229,1024
1493609230,1024
1493609231,1024
1493609246,1024
1493609247,1024
1493609248,1024
1493609249,1024
1493609250,1024
1493609251,1024
1493609252,1024
1493609253,1024
1493609254,1024
1493609255,1024
1493609256,1024
1493609257,1024
1493609258,1024
1493609259,1024
1493609260,1024
1493609261,1024
1493609262,1024
1493609263,1024
1493609264,1024
1493609265,1024
1493609266,1024
1493609283,1024
1493609284,1024
1493609285,1024
1493609286,1024
1493609287,1024
1493609288,1024
1493609289,1024
1493609290,1024
1493609291,1024
1493609292,1024
1493609293,1024
1493609294,1024
1493609295,1024
1493609296,1024
1493609297,1024
1493609298,1024
1493609299,1024
1493609300,1024
1493609301,1024
1493609302,1024
1493609303,1024
1493609534,1024
1493609535,1024
1493609536,1024
1493609537,1024
1493609538,1024
1493609539,1024
1493609540,1024
1493609541,1024
1493609542,1024
1493609543,1024
1493609544,1024
1493609545,1024
1493609546,1024
1493609547,1024
1493609548,1024
1493609549,1024
1493609550,1024
1493609551,1024
1493609552,1024
1493609553,1024
1493609554,1024
1493609645,1024
1493609646,1024
1493609647,1024
1493609648,1024
1493609649,1024
1493609650,1024
1493609651,1024
1493609652,1024
1493609653,1024
1493609654,1024
1493609655,1024
1493609656,1024
1493609657,1024
1493609658,1024
1493609659,1024
1493609660,1024
1493609661,1024
1493609662,1024
1493609696,1024
1493609697,1024
1493609698,1024
1493609699,1024
1493609700,1024
1493609701,1024
1493609702,1024
1493609703,1024
1493609704,1024
1493609705,1024
1493609706,1024
1493609707,1024
1493609708,1024
1493609709,1024
1493609710,1024
1493609711,1024
1493609733,1024
1493609734,1024
1493609735,1024
1493609736,1024
1493609737,1024
1493609738,1024
1493609739,1024
1493609740,1024
1493609741,1024
1493609742,1024
1493609743,1024
1493609744,1024
1493609745,1024
1493609746,1024
1493609747,1024
1493609748,1024
1493609749,1024
1493609750,1024
1493609751,1024
1493610010,1024
1493610011,1024
1493610012,1024
1493610013,1024
1493610014,1024
1493610015,1024
1493610016,1024
1493610017,1024
1493610018,1024
1493610019,1024
1493610020,1024
1493610021,1024
1493610022,1024
1493610023,1024
1493610024,1024
1493610025,1024
1493610026,1024
1493610027,1024
1493610028,1024
1493610029,1024
1493610030,1024
1493610699,1024
1493610700,1024
1493610701,1024
1493610702,1024
1493610703,1024
1493610704,1024
1493610705,1024
1493610706,1024
1493610707,1024
1493610708,1024
1493610709,1024
1493610710,1024
1493610711,1024
1493610712,1024
1493610713,1024
1493610714,1024
1493610715,1024
1493610716,1024
1493610717,1024
1493610718,1024
1493610719,1024
1493610857,1024
1493610858,1024
1493610859,1024
1493610860,1024
1493610861,1024
1493610862,1024
1493610863,1024
1493610864,1024
1493610865,1024
1493610866,1024
1493610867,1024
1493610868,1024
1493610869,1024
1493610870,1024
1493610871,1024
1493610872,1024
1493610873,1024
1493610874,1024
1493610875,1024
1493610876,1024
1493610877,1024
1493816574,1024
1493816575,1024
1493816576,1024
1493816577,1024
1493816578,1024
1493816824,1024
1493816825,1024
1493816826,1024
1493816827,1024
1493816828,1024
1493816829,1024
1493816830,1024
1493816831,1024
1493816832,1024
1493816833,1024
1493816834,1024
1493816835,1024
1493816836,1024
1493816837,1024
1493816838,1024
1493816839,1024
1493816840,1024
1493816841,1024
1493816842,1024
1493816843,1024
1493817072,1024
1493817073,1024
1493817074,1024
1493817075,1024
1493817076,1024
1493817077,1024
1493817078,1024
1493817079,1024
1493817080,1024
1493817081,1024
1493817082,1024
1493817083,1024
1493817084,1024
1493817085,1024
1493817086,1024
1493817087,1024
1493817088,1024
1493817089,1024
1493817090,1024
1493817091,1024
1493867281,1024
1493867282,1024
1493867283,1024
1493867284,1024
1493867285,1024
1493867286,1024
1493867287,1024
1493867288,1024
1493867289,1024
1493867290,1024
1493867291,1024
1493867292,1024
1493867293,1024
1493867294,1024
1493867295,1024
1493867296,1024
1493867297,1024
1493867298,1024
1493867299,1024
1493867300,1024
1493867337,1024
1493867338,1024
1493867339,1024
1493867340,1024
1493867341,1024
1493867342,1024
1493867343,1024
1493867344,1024
1493867345,1024
1493867346,1024
1493867347,1024
1493867348,1024
1493867349,1024
1493867350,1024
1493867351,1024
1493867352,1024
1493867353,1024
1493867354,1024
1493867355,1024
1493867356,1024
1493867357,1024
1493867358,1024
1493867359,1024
1493867492,1024
1493867493,1024
1493867494,1024
1493867495,1024
1493867496,1024
1493867497,1024
1493867498,1024
1493867499,1024
1493867500,1024
1493867501,1024
1493867502,1024
1493867503,1024
1493867504,1024
1493867505,1024
1493867506,1024
1493867507,1024
1493867508,1024
1493867509,1024
1493867510,1024
1493867511,1024
1493867512,1024
1493867513,1024
1493867514,1024
1493867515,1024
1493868052,1024
1493868053,1024
1493868054,1024
1493868055,1024
1493868056,1024
1493868057,1024
1493868058,1024
1493868059,1024
1493868060,1024
1493868061,1024
1493868062,1024
1493868063,1024
1493868064,1024
1493868065,1024
1493868066,1024
1493868067,1024
1493868068,1024
1493868069,1024
1493868070,1024
1493868071,1024
1493868072,1024
1493868073,1024
1493868074,1024
1493868075,1024
1493868076,1024
1493868077,1024
1493868078,1024
1493868220,1024
1493868221,1024
1493868222,1024
1493868223,1024
1493868224,1024
1493868225,1024
1493868226,1024
1493868227,1024
1493868228,1024
1493868229,1024
1493868230,1024
1493868231,1024
1493868232,1024
1493868233,1024
1493868234,1024
1493868235,1024
1493868236,1024
1493868237,1024
1493868238,1024
1493868239,1024
1493868240,1024
1493868241,1024
1493868242,1024
1493868243,1024
1493868244,1024
1493868245,1024
1493868246,1024
1493869001,1024
1493869002,1024
1493869003,1024
1493869004,1024
1493869005,1024
1493869006,1024
1493869007,1024
1493869008,1024
1493869009,1024
1493869010,1024
1493869011,1024
1493869012,1024
1493869013,1024
1493869014,1024
1493869015,1024
1493869016,1024
1493869017,1024
1493869018,1024
1493869019,1024
1493869020,1024
1493869021,1024
1493869022,1024
1493869023,1024
1493869024,1024
1493869025,1024
1493869026,1024
1493869027,1024
1493869028,1024
1493869029,1024
1493869030,1024
1493869031,1024
1493875899,1024
1493875900,1024
1493875901,1024
1493875902,1024
1493875903,1024
1493875904,1024
1493875905,1024
1493875906,1024
1493875907,1024
1493875908,1024
1493875909,1024
1493875910,1024
1493875911,1024
1493875912,1024
1493875913,1024
1493875914,1024
1493875915,1024
1493875916,1024
1493875917,1024
1493875918,1024
1493875919,1024
1493875920,1024
1493875921,1024
1493875922,1024
1493875923,1024
1493875924,1024
1493875925,1024
1493875926,1024
1493875927,1024
1493875928,1024
1493875929,1024
1493876045,1024
1493876046,1024
1493876047,1024
1493876048,1024
1493876049,1024
1493876050,1024
1493876051,1024
1493876052,1024
1493876053,1024
1493876054,1024
1493876055,1024
1493876056,1024
1493876057,1024
1493876058,1024
1493876059,1024
1493876060,1024
1493876061,1024
1493876062,1024
1493876063,1024
1493876064,1024
1493876065,1024
1493876066,1024
1493876067,1024
1493876068,1024
1493876069,1024
1493876070,1024
1493876071,1024
1493876072,1024
1493876073,1024
1493876074,1024
1493876075,1024
1493876076,1024
1493876077,1024
1493876078,1024
1493876079,1024
1493876080,1024
1493876081,1024
1493876082,1024
1493876083,1024
1493876084,1024
1493876085,1024
1493876086,1024
1493876087,1024
1493876088,1024
1493876089,1024
1493876090,1024
1493876091,1024
1493876092,1024
1493876093,1024
1493876094,1024
1493876095,1024
1493876128,1024
1493876129,1024
1493876130,1024
1493876131,1024
1493876132,1024
1493876133,1024
1493876134,1024
1493876135,1024
1493876136,1024
1493876137,1024
1493876138,1024
1493876139,1024
1493876140,1024
