t,value
1493609212,0
1493609213,1024
1493609214,10240
1493609215,32768
1493609216,40960
1493609217,40960
1493609218,40960
1493609219,40960
1493609220,40960
1493609221,40960
1493609222,40960
1493609223,40960
1493609224,40960
1493609225,40960
1493609226,40960
1493609227,40960
1493609228,40960
1493609229,40960
1493609230,40960
1493609231,40960
1493609246,0
1493609247,1024
1493609248,1024
1493609249,30720
1493609250,40960
1493609251,40960
1493609252,40960
1493609253,40960
1493609254,40960
1493609255,40960
1493609256,40960
1493609257,40960
1493609258,40960
1493609259,40960
1493609260,40960
1493609261,40960
1493609262,40960
1493609263,40960
1493609264,40960
1493609265,40960
1493609266,40960
1493609283,0
1493609284,1024
1493609285,1024
1493609286,16384
1493609287,40960
1493609288,40960
1493609289,40960
1493609290,40960
1493609291,40960
1493609292,40960
1493609293,40960
1493609294,40960
1493609295,40960
1493609296,40960
1493609297,40960
1493609298,40960
1493609299,40960
1493609300,40960
1493609301,40960
1493609302,40960
1493609303,40960
1493609534,0
1493609535,1024
1493609536,1024
1493609537,5120
1493609538,5120
1493609539,5120
1493609540,5120
1493609541,5120
1493609542,5120
1493609543,5120
1493609544,5120
1493609545,5120
1493609546,5120
1493609547,5120
1493609548,5120
1493609549,5120
1493609550,5120
1493609551,5120
1493609552,5120
1493609553,5120
1493609554,4096
1493609645,0
1493609646,1024
1493609647,1024
1493609648,5120
1493609649,5120
1493609650,5120
1493609651,5120
1493609652,5120
1493609653,5120
1493609654,5120
1493609655,5120
1493609656,5120
1493609657,5120
1493609658,5120
1493609659,4096
1493609660,1024
1493609661,1024
1493609662,0
1493609696,0
1493609697,1024
1493609698,1024
1493609699,5120
1493609700,5120
1493609701,5120
1493609702,5120
1493609703,5120
1493609704,5120
1493609705,5120
1493609706,5120
1493609707,5120
1493609708,5120
1493609709,5120
1493609710,4096
1493609711,1024
1493609733,0
1493609734,1024
1493609735,1024
1493609736,5120
1493609737,5120
1493609738,5120
1493609739,5120
1493609740,5120
1493609741,5120
1493609742,5120
1493609743,5120
1493609744,5120
1493609745,5120
1493609746,5120
1493609747,4096
1493609748,2048
1493609749,1024
1493609750,1024
1493609751,0
1493610010,0
1493610011,2048
1493610012,2048
1493610013,8192
1493610014,8192
1493610015,8192
1493610016,8192
1493610017,8192
1493610018,8192
1493610019,8192
1493610020,8192
1493610021,8192
1493610022,8192
1493610023,8192
1493610024,7168
1493610025,4096
1493610026,4096
1493610027,3072
1493610028,3072
1493610029,3072
1493610030,1024
1493610699,0
1493610700,2048
1493610701,2048
1493610702,8192
1493610703,8192
1493610704,8192
1493610705,8192
1493610706,8192
1493610707,8192
1493610708,8192
1493610709,8192
1493610710,8192
1493610711,8192
1493610712,8192
1493610713,7168
1493610714,4096
1493610715,4096
1493610716,3072
1493610717,3072
1493610718,3072
1493610719,1024
1493610857,0
1493610858,2048
1493610859,2048
1493610860,8192
1493610861,8192
1493610862,8192
1493610863,8192
1493610864,8192
1493610865,8192
1493610866,8192
1493610867,8192
1493610868,8192
1493610869,8192
1493610870,8192
1493610871,7168
1493610872,4096
1493610873,4096
1493610874,3072
1493610875,3072
1493610876,3072
1493610877,1024
1493816574,2048
1493816575,2048
1493816576,8192
1493816577,8192
1493816578,8192
1493816824,2048
1493816825,2048
1493816826,8192
1493816827,8192
1493816828,8192
1493816829,8192
1493816830,8192
1493816831,8192
1493816832,8192
1493816833,8192
1493816834,8192
1493816835,8192
1493816836,8192
1493816837,8192
1493816838,4096
1493816839,4096
1493816840,3072
1493816841,3072
1493816842,3072
1493816843,1024
1493817072,2048
1493817073,2048
1493817074,8192
1493817075,8192
1493817076,8192
1493817077,8192
1493817078,8192
1493817079,8192
1493817080,8192
1493817081,8192
1493817082,8192
1493817083,8192
1493817084,8192
1493817085,8192
1493817086,4096
1493817087,4096
1493817088,3072
1493817089,3072
1493817090,3072
1493817091,1024
1493867281,2048
1493867282,2048
1493867283,10240
1493867284,11264
1493867285,11264
1493867286,11264
1493867287,11264
1493867288,11264
1493867289,11264
1493867290,11264
1493867291,6144
1493867292,6144
1493867293,5120
1493867294,5120
1493867295,5120
1493867296,5120
1493867297,5120
1493867298,5120
1493867299,5120
1493867300,5120
1493867337,1024
1493867338,2048
1493867339,11264
1493867340,11264
1493867341,11264
1493867342,11264
1493867343,11264
1493867344,11264
1493867345,11264
1493867346,11264
1493867347,6144
1493867348,6144
1493867349,5120
1493867350,5120
1493867351,5120
1493867352,5120
1493867353,5120
1493867354,5120
1493867355,5120
1493867356,5120
1493867357,1024
1493867358,1024
1493867359,1024
1493867492,0
1493867493,2048
1493867494,2048
1493867495,11264
1493867496,11264
1493867497,11264
1493867498,11264
1493867499,11264
1493867500,11264
1493867501,11264
1493867502,11264
1493867503,6144
1493867504,6144
1493867505,5120
1493867506,5120
1493867507,5120
1493867508,5120
1493867509,5120
1493867510,5120
1493867511,5120
1493867512,5120
1493867513,1024
1493867514,1024
1493867515,0
1493868052,0
1493868053,1024
1493868054,1024
1493868055,6144
1493868056,7168
1493868057,7168
1493868058,11264
1493868059,11264
1493868060,11264
1493868061,11264
1493868062,11264
1493868063,6144
1493868064,6144
1493868065,5120
1493868066,5120
1493868067,5120
1493868068,5120
1493868069,5120
1493868070,5120
1493868071,5120
1493868072,5120
1493868073,5120
1493868074,5120
1493868075,5120
1493868076,1024
1493868077,1024
1493868078,0
1493868220,0
1493868221,1024
1493868222,1024
1493868223,6144
1493868224,7168
1493868225,7168
1493868226,11264
1493868227,11264
1493868228,11264
1493868229,11264
1493868230,11264
1493868231,6144
1493868232,6144
1493868233,5120
1493868234,5120
1493868235,5120
1493868236,5120
1493868237,5120
1493868238,5120
1493868239,5120
1493868240,5120
1493868241,5120
1493868242,5120
1493868243,5120
1493868244,1024
1493868245,1024
1493868246,0
1493869001,0
1493869002,1024
1493869003,6144
1493869004,7168
1493869005,7168
1493869006,10240
1493869007,10240
1493869008,10240
1493869009,10240
1493869010,10240
1493869011,6144
1493869012,6144
1493869013,5120
1493869014,5120
1493869015,5120
1493869016,5120
1493869017,5120
1493869018,5120
1493869019,5120
1493869020,5120
1493869021,5120
1493869022,5120
1493869023,5120
1493869024,5120
1493869025,5120
1493869026,5120
1493869027,5120
1493869028,5120
1493869029,1024
1493869030,1024
1493869031,0
1493875899,0
1493875900,0
1493875901,1024
1493875902,1024
1493875903,6144
1493875904,7168
1493875905,7168
1493875906,10240
1493875907,10240
1493875908,10240
1493875909,10240
1493875910,6144
1493875911,6144
1493875912,5120
1493875913,5120
1493875914,5120
1493875915,5120
1493875916,5120
1493875917,5120
1493875918,5120
1493875919,5120
1493875920,5120
1493875921,5120
1493875922,5120
1493875923,5120
1493875924,5120
1493875925,5120
1493875926,5120
1493875927,5120
1493875928,1024
1493875929,1024
1493876045,0
1493876046,0
1493876047,1024
1493876048,1024
1493876049,6144
1493876050,7168
1493876051,7168
1493876052,10240
1493876053,10240
1493876054,10240
1493876055,10240
1493876056,10240
1493876057,10240
1493876058,10240
1493876059,10240
1493876060,10240
1493876061,10240
1493876062,10240
1493876063,10240
1493876064,10240
1493876065,10240
1493876066,10240
1493876067,10240
1493876068,10240
1493876069,10240
1493876070,10240
1493876071,6144
1493876072,6144
1493876073,5120
1493876074,5120
1493876075,5120
1493876076,5120
1493876077,5120
1493876078,5120
1493876079,5120
1493876080,5120
1493876081,5120
1493876082,5120
1493876083,5120
1493876084,5120
1493876085,5120
1493876086,5120
1493876087,5120
1493876088,5120
1493876089,5120
1493876090,5120
1493876091,5120
1493876092,5120
1493876093,5120
1493876094,5120
1493876095,5120
1493876128,0
1493876129,1024
1493876130,1024
1493876131,6144
1493876132,7168
1493876133,7168
1493876134,10240
1493876135,10240
1493876136,10240
1493876137,10240
1493876138,10240
1493876139,10240
1493876140,10240
1493876141,10240
1493876142,10240
1493876143,10240
1493876144,10240
1493876145,10240
1493876146,10240
1493876147,10240
1493876148,10240
1493876149,10240
1493876150,10240
1493876151,10240
1493876152,10240
1493876153,10240
1493876154,6144
1493876155,6144
1493876156,5120
1493876157,5120
1493876158,5120
1493876159,5120
1493876160,5120
1493876161,5120
1493876162,5120
