t,value
1493609212,0
1493609213,1
1493609214,10
1493609215,32
1493609216,40
1493609217,40
1493609218,40
1493609219,40
1493609220,40
1493609221,40
1493609222,40
1493609223,40
1493609224,40
1493609225,40
1493609226,40
1493609227,40
1493609228,40
1493609229,40
1493609230,40
1493609231,40
1493609246,0
1493609247,1
1493609248,1
1493609249,30
1493609250,40
1493609251,40
1493609252,40
1493609253,40
1493609254,40
1493609255,40
1493609256,40
1493609257,40
1493609258,40
1493609259,40
1493609260,40
1493609261,40
1493609262,40
1493609263,40
1493609264,40
1493609265,40
1493609266,40
1493609283,0
1493609284,1
1493609285,1
1493609286,16
1493609287,40
1493609288,40
1493609289,40
1493609290,40
1493609291,40
1493609292,40
1493609293,40
1493609294,40
1493609295,40
1493609296,40
1493609297,40
1493609298,40
1493609299,40
1493609300,40
1493609301,40
1493609302,40
1493609303,40
1493609534,0
1493609535,1
1493609536,1
1493609537,5
1493609538,5
1493609539,5
1493609540,5
1493609541,5
1493609542,5
1493609543,5
1493609544,5
1493609545,5
1493609546,5
1493609547,5
1493609548,5
1493609549,5
1493609550,5
1493609551,5
1493609552,5
1493609553,5
1493609554,4
1493609645,0
1493609646,1
1493609647,1
1493609648,5
1493609649,5
1493609650,5
1493609651,5
1493609652,5
1493609653,5
1493609654,5
1493609655,5
1493609656,5
1493609657,5
1493609658,5
1493609659,4
1493609660,1
1493609661,1
1493609662,0
1493609696,0
1493609697,1
1493609698,1
1493609699,5
1493609700,5
1493609701,5
1493609702,5
1493609703,5
1493609704,5
1493609705,5
1493609706,5
1493609707,5
1493609708,5
1493609709,5
1493609710,4
1493609711,1
1493609733,0
1493609734,1
1493609735,1
1493609736,5
1493609737,5
1493609738,5
1493609739,5
1493609740,5
1493609741,5
1493609742,5
1493609743,5
1493609744,5
1493609745,5
1493609746,5
1493609747,4
1493609748,2
1493609749,1
1493609750,1
1493609751,0
1493610010,0
1493610011,2
1493610012,2
1493610013,8
1493610014,8
1493610015,8
1493610016,8
1493610017,8
1493610018,8
1493610019,8
1493610020,8
1493610021,8
1493610022,8
1493610023,8
1493610024,7
1493610025,4
1493610026,4
1493610027,3
1493610028,3
1493610029,3
1493610030,1
1493610699,0
1493610700,2
1493610701,2
1493610702,8
1493610703,8
1493610704,8
1493610705,8
1493610706,8
1493610707,8
1493610708,8
1493610709,8
1493610710,8
1493610711,8
1493610712,8
1493610713,7
1493610714,4
1493610715,4
1493610716,3
1493610717,3
1493610718,3
1493610719,1
1493610857,0
1493610858,2
1493610859,2
1493610860,8
1493610861,8
1493610862,8
1493610863,8
1493610864,8
1493610865,8
1493610866,8
1493610867,8
1493610868,8
1493610869,8
1493610870,8
1493610871,7
1493610872,4
1493610873,4
1493610874,3
1493610875,3
1493610876,3
1493610877,1
1493816574,2
1493816575,2
1493816576,8
1493816577,8
1493816578,8
1493816824,2
1493816825,2
1493816826,8
1493816827,8
1493816828,8
1493816829,8
1493816830,8
1493816831,8
1493816832,8
1493816833,8
1493816834,8
1493816835,8
1493816836,8
1493816837,8
1493816838,4
1493816839,4
1493816840,3
1493816841,3
1493816842,3
1493816843,1
1493817072,2
1493817073,2
1493817074,8
1493817075,8
1493817076,8
1493817077,8
1493817078,8
1493817079,8
1493817080,8
1493817081,8
1493817082,8
1493817083,8
1493817084,8
1493817085,8
1493817086,4
1493817087,4
1493817088,3
1493817089,3
1493817090,3
1493817091,1
1493867281,2
1493867282,2
1493867283,10
1493867284,11
1493867285,11
1493867286,11
1493867287,11
1493867288,11
1493867289,11
1493867290,11
1493867291,6
1493867292,6
1493867293,5
1493867294,5
1493867295,5
1493867296,5
1493867297,5
1493867298,5
1493867299,5
1493867300,5
1493867337,1
1493867338,2
1493867339,11
1493867340,11
1493867341,11
1493867342,11
1493867343,11
1493867344,11
1493867345,11
1493867346,11
1493867347,6
1493867348,6
1493867349,5
1493867350,5
1493867351,5
1493867352,5
1493867353,5
1493867354,5
1493867355,5
1493867356,5
1493867357,1
1493867358,1
1493867359,1
1493867492,0
1493867493,2
1493867494,2
1493867495,11
1493867496,11
1493867497,11
1493867498,11
1493867499,11
1493867500,11
1493867501,11
1493867502,11
1493867503,6
1493867504,6
1493867505,5
1493867506,5
1493867507,5
1493867508,5
1493867509,5
1493867510,5
1493867511,5
1493867512,5
1493867513,1
1493867514,1
1493867515,0
1493868052,0
1493868053,1
1493868054,1
1493868055,6
1493868056,7
1493868057,7
1493868058,11
1493868059,11
1493868060,11
1493868061,11
1493868062,11
1493868063,6
1493868064,6
1493868065,5
1493868066,5
1493868067,5
1493868068,5
1493868069,5
1493868070,5
1493868071,5
1493868072,5
1493868073,5
1493868074,5
1493868075,5
1493868076,1
1493868077,1
1493868078,0
1493868220,0
1493868221,1
1493868222,1
1493868223,6
1493868224,7
1493868225,7
1493868226,11
1493868227,11
1493868228,11
1493868229,11
1493868230,11
1493868231,6
1493868232,6
1493868233,5
1493868234,5
1493868235,5
1493868236,5
1493868237,5
1493868238,5
1493868239,5
1493868240,5
1493868241,5
1493868242,5
1493868243,5
1493868244,1
1493868245,1
1493868246,0
1493869001,0
1493869002,1
1493869003,6
1493869004,7
1493869005,7
1493869006,10
1493869007,10
1493869008,10
1493869009,10
1493869010,10
1493869011,6
1493869012,6
1493869013,5
1493869014,5
1493869015,5
1493869016,5
1493869017,5
1493869018,5
1493869019,5
1493869020,5
1493869021,5
1493869022,5
1493869023,5
1493869024,5
1493869025,5
1493869026,5
1493869027,5
1493869028,5
1493869029,1
1493869030,1
1493869031,0
1493875899,0
1493875900,0
1493875901,1
1493875902,1
1493875903,6
1493875904,7
1493875905,7
1493875906,10
1493875907,10
1493875908,10
1493875909,10
1493875910,6
1493875911,6
1493875912,5
1493875913,5
1493875914,5
1493875915,5
1493875916,5
1493875917,5
1493875918,5
1493875919,5
1493875920,5
1493875921,5
1493875922,5
1493875923,5
1493875924,5
1493875925,5
1493875926,5
1493875927,5
1493875928,1
1493875929,1
1493876045,0
1493876046,0
1493876047,1
1493876048,1
1493876049,6
1493876050,7
1493876051,7
1493876052,10
1493876053,10
1493876054,10
1493876055,10
1493876056,10
1493876057,10
1493876058,10
1493876059,10
1493876060,10
1493876061,10
1493876062,10
1493876063,10
1493876064,10
1493876065,10
1493876066,10
1493876067,10
1493876068,10
1493876069,10
1493876070,10
1493876071,6
1493876072,6
1493876073,5
1493876074,5
1493876075,5
1493876076,5
1493876077,5
1493876078,5
1493876079,5
1493876080,5
1493876081,5
1493876082,5
1493876083,5
1493876084,5
1493876085,5
1493876086,5
1493876087,5
1493876088,5
1493876089,5
1493876090,5
1493876091,5
1493876092,5
1493876093,5
1493876094,5
1493876095,5
1493876128,0
1493876129,1
1493876130,1
1493876131,6
